ensembl_gene_id,likelihood,treelength,p0,b0,f0,p1,b1,f1,p2,b2,f2,p3,b3,f3,FDR,p2a_2b
ENSSHAG00000000219,-1718.863053,5.88195,0.82875,0.03267,0.03267,0.12749,1,1,0.03793,0.03267,355.27493,0.00583,1,355.27493,1.81240650498662e-07,0.04376
ENSSHAG00000000223,-1265.559168,13.98246,0.47435,0.02623,0.02623,0.23569,1,1,0.19371,0.02623,89.93761,0.09625,1,89.93761,5.55213184428639e-11,0.28996
ENSSHAG00000000229,-1851.684105,56.13549,0.9513,0.01475,0.01475,0,1,1,0.0487,0.01475,161.17814,0,1,161.17814,0.0135955701789948,0.0487
ENSSHAG00000000237,-9343.652455,14.75198,0.90334,0.0344,0.0344,0.08195,1,1,0.01349,0.0344,999,0.00122,1,999,1.0496504014976e-06,0.01471
ENSSHAG00000000245,-2422.640161,22.04578,0.50124,0.072,0.072,0.44587,1,1,0.02799,0.072,998.99977,0.0249,1,998.99977,0.000210742188364156,0.05289
ENSSHAG00000000271,-8950.717706,76.39412,0.75309,0.02746,0.02746,0.18684,1,1,0.04813,0.02746,999,0.01194,1,999,0.000562781035131449,0.06007
ENSSHAG00000000303,-12835.128349,9.60637,0.79787,0.00998,0.00998,0.02544,1,1,0.17123,0.00998,70.50839,0.00546,1,70.50839,6.80369134101343e-76,0.17669
ENSSHAG00000000321,-23861.041449,17.10247,0.85552,0.03381,0.03381,0,1,1,0.14448,0.03381,394.83228,0,1,394.83228,3.21103135622996e-204,0.14448
ENSSHAG00000000322,-8594.674367,101.51294,0.66688,0.037,0.037,0.10408,1,1,0.19812,0.037,248.84832,0.03092,1,248.84832,4.15677001631984e-14,0.22904
ENSSHAG00000000341,-7470.87332,50.91848,0.72743,0.05462,0.05462,0.08757,1,1,0.16513,0.05462,274.33653,0.01988,1,274.33653,1.50983602685794e-17,0.18501
ENSSHAG00000000343,-7390.281787,10.1788,0.43962,0.05223,0.05223,0.47537,1,1,0.04084,0.05223,360.71849,0.04416,1,360.71849,9.4365520876395e-11,0.085
ENSSHAG00000000346,-4683.656137,0.84273,0.97776,0.01985,0.01985,0.01748,1,1,0.00467,0.01985,182.00864,8e-05,1,182.00864,0.026239676847237,0.00475
ENSSHAG00000000360,-5310.281851,71.35548,0.78745,0.01703,0.01703,0.11177,1,1,0.08826,0.01703,263.40271,0.01253,1,263.40271,3.1563936543909e-14,0.10079
ENSSHAG00000000361,-5109.194247,20.34445,0.90212,0.06145,0.06145,0.06002,1,1,0.0355,0.06145,9.76852,0.00236,1,9.76852,0.0321347423781348,0.03786
ENSSHAG00000000392,-5437.364911,51.47687,0.98981,0.01456,0.01456,0,1,1,0.01019,0.01456,482.49894,0,1,482.49894,0.000745272917729963,0.01019
ENSSHAG00000000406,-1099.440247,5.99599,0.96795,0.03323,0.03323,0,1,1,0.03205,0.03323,395.3563,0,1,395.3563,1.47883363230362e-07,0.03205
ENSSHAG00000000407,-12631.618559,0.81442,0.92502,0.03349,0.03349,0.07269,1,1,0.00212,0.03349,236.30039,0.00017,1,236.30039,0.00375371449656999,0.00229
ENSSHAG00000000418,-5224.669462,31.83297,0.86969,0.16174,0.16174,0,1,1,0.13031,0.16174,427.46097,0,1,427.46097,3.40760893123597e-21,0.13031
ENSSHAG00000000421,-7268.533874,78.90261,0.78682,0.04097,0.04097,0.16855,1,1,0.03675,0.04097,999,0.00787,1,999,0.00567130635665662,0.04462
ENSSHAG00000000464,-3033.574923,1.003,0.61838,0,0,0.34862,1,1,0.02111,0,32.14749,0.0119,1,32.14749,3.22169451142194e-05,0.03301
ENSSHAG00000000472,-4526.98157,23.74555,0.90491,0.07076,0.07076,0.06414,1,1,0.0289,0.07076,998.99123,0.00205,1,998.99123,3.64672443974292e-05,0.03095
ENSSHAG00000000485,-3062.399449,52.24421,0.61162,0.08457,0.08457,0.09844,1,1,0.24974,0.08457,155.10704,0.0402,1,155.10704,1.03743075522551e-09,0.28994
ENSSHAG00000000486,-3978.975915,3.20653,0.95396,0.01787,0.01787,0.03774,1,1,0.00799,0.01787,999,0.00032,1,999,0.000577183834044439,0.00831
ENSSHAG00000000505,-2993.120308,51.00398,0.81349,0.00142,0.00142,0.13829,1,1,0.04121,0.00142,645.43356,0.00701,1,645.43356,0.00193741171292124,0.04822
ENSSHAG00000000507,-13211.438729,1.01083,0.65046,0.08313,0.08313,0.31984,1,1,0.01991,0.08313,18.71981,0.00979,1,18.71981,2.28961924811328e-08,0.0297
ENSSHAG00000000518,-4035.280995,24.45799,0.74247,0.08783,0.08783,0.19566,1,1,0.04897,0.08783,999,0.0129,1,999,1.0023718361773e-08,0.06187
ENSSHAG00000000519,-9872.312375,64.54067,0.69659,0.05386,0.05386,0.09835,1,1,0.17969,0.05386,293.22121,0.02537,1,293.22121,1.52654230460953e-41,0.20506
ENSSHAG00000000533,-5942.852983,1.4135,0.91214,0.04648,0.04648,0.08161,1,1,0.00574,0.04648,999,0.00051,1,999,3.4546623626115e-06,0.00625
ENSSHAG00000000539,-3142.365995,29.63944,0.80138,0.03105,0.03105,0.15177,1,1,0.03939,0.03105,998.9017,0.00746,1,998.9017,0.0415811778366631,0.04685
ENSSHAG00000000550,-2440.656024,74.63184,0.91625,0.02594,0.02594,0,1,1,0.08375,0.02594,850.63819,0,1,850.63819,9.05619411066749e-06,0.08375
ENSSHAG00000000551,-3563.131144,1.27087,0.9629,0.00664,0.00664,0.02776,1,1,0.00908,0.00664,274.81979,0.00026,1,274.81979,0.00300197196734325,0.00934
ENSSHAG00000000572,-14538.383596,28.30199,0.79912,0.03094,0.03094,0.12117,1,1,0.06921,0.03094,52.36885,0.01049,1,52.36885,1.72248495244245e-29,0.0797
ENSSHAG00000000590,-5635.386819,6.08526,0.93841,0.02809,0.02809,0.04508,1,1,0.01576,0.02809,100.86008,0.00076,1,100.86008,0.00166280439133076,0.01652
ENSSHAG00000000604,-6638.058164,37.29599,0.76803,0.05738,0.05738,0.18419,1,1,0.03853,0.05738,405.31178,0.00924,1,405.31178,4.32266700226246e-09,0.04777
ENSSHAG00000000610,-1305.197366,50.19214,0.68722,0.03176,0.03176,0.01766,1,1,0.28772,0.03176,55.74543,0.0074,1,55.74543,0.000546349389433045,0.29512
ENSSHAG00000000614,-4130.663593,6.5335,0.87354,0.00428,0.00428,0.08613,1,1,0.03671,0.00428,580.81073,0.00362,1,580.81073,1.2659473508176e-21,0.04033
ENSSHAG00000000627,-6664.2151,15.88757,0.53873,0.0223,0.0223,0.37584,1,1,0.05032,0.0223,530.55844,0.03511,1,530.55844,6.83251503610078e-22,0.08543
ENSSHAG00000000641,-5216.455906,20.17636,0.34889,0.05008,0.05008,0.55839,1,1,0.03566,0.05008,17.44256,0.05707,1,17.44256,0.00143460923110389,0.09273
ENSSHAG00000000643,-6113.628511,1.00539,0.92658,0.07167,0.07167,0.05718,1,1,0.0153,0.07167,175.55551,0.00094,1,175.55551,1.99875406101804e-19,0.01624
ENSSHAG00000000652,-4968.869996,47.22792,0.73624,0.0017,0.0017,0.16401,1,1,0.08158,0.0017,643.90599,0.01817,1,643.90599,1.01111585767889e-06,0.09975
ENSSHAG00000000668,-1907.938343,50.40141,0.98107,0.02492,0.02492,0,1,1,0.01893,0.02492,28.49977,0,1,28.49977,0.0248253709550269,0.01893
ENSSHAG00000000675,-4786.214891,4.41916,0.78049,0.05223,0.05223,0.11694,1,1,0.0892,0.05223,83.51285,0.01337,1,83.51285,3.25095220007879e-22,0.10257
ENSSHAG00000000685,-2648.111693,24.96867,0.81316,0.0023,0.0023,0.14207,1,1,0.03811,0.0023,999,0.00666,1,999,0.00336774277719394,0.04477
ENSSHAG00000000699,-2564.148168,35.5602,0.75653,0.08094,0.08094,0.14495,1,1,0.08268,0.08094,726.29407,0.01584,1,726.29407,1.54326379024242e-12,0.09852
ENSSHAG00000000700,-3402.352864,18.25431,0.95568,0.12138,0.12138,0,1,1,0.04432,0.12138,126.2413,0,1,126.2413,1.44933066146058e-06,0.04432
ENSSHAG00000000708,-5647.283022,2.54442,0.98127,0.02943,0.02943,0,1,1,0.01873,0.02943,657.23074,0,1,657.23074,6.82202497922823e-08,0.01873
ENSSHAG00000000709,-3299.979903,7.8738,0.7964,0.02455,0.02455,0.17786,1,1,0.02104,0.02455,999,0.0047,1,999,0.011075458451101,0.02574
ENSSHAG00000000721,-3231.694717,40.97534,0.62658,0.0547,0.0547,0.11653,1,1,0.2166,0.0547,404.56953,0.04028,1,404.56953,4.32921697108978e-23,0.25688
ENSSHAG00000000726,-2554.23276,0.72229,0.64579,0.06113,0.06113,0.34009,1,1,0.00925,0.06113,47.26311,0.00487,1,47.26311,0.00531790357672881,0.01412
ENSSHAG00000000727,-2053.763166,0.49745,0.98676,0.02367,0.02367,0,1,1,0.01324,0.02367,17.94497,0,1,17.94497,0.00573700782786986,0.01324
ENSSHAG00000000732,-3130.499252,0.91243,0.96055,0.01243,0.01243,0.01266,1,1,0.02644,0.01243,30.6711,0.00035,1,30.6711,2.9576539166856e-05,0.02679
ENSSHAG00000000736,-7887.83202,11.11137,0.59143,0.02744,0.02744,0.34049,1,1,0.04321,0.02744,342.08061,0.02488,1,342.08061,6.58118512711912e-14,0.06809
ENSSHAG00000000751,-9675.982098,65.07824,0.84322,0.01888,0.01888,0.10658,1,1,0.04456,0.01888,262.06775,0.00563,1,262.06775,0.0354682523205694,0.05019
ENSSHAG00000000752,-6647.89203,23.14312,0.94442,0.01629,0.01629,0.01497,1,1,0.03997,0.01629,999,0.00063,1,999,9.00963119577858e-27,0.0406
ENSSHAG00000000753,-5142.172753,95.8652,0.55441,0.03411,0.03411,0.17995,1,1,0.20055,0.03411,558.58143,0.06509,1,558.58143,2.47000860464519e-09,0.26564
ENSSHAG00000000756,-5895.717894,50.4306,0.76864,0.09506,0.09506,0.11299,1,1,0.1032,0.09506,936.19818,0.01517,1,936.19818,3.30761345566955e-16,0.11837
ENSSHAG00000000760,-3956.159468,27.97179,0.52159,0.06361,0.06361,0.38846,1,1,0.05155,0.06361,170.01408,0.03839,1,170.01408,9.37894000969935e-09,0.08994
ENSSHAG00000000762,-14131.335054,28.93403,0.41532,0.02425,0.02425,0.40129,1,1,0.09327,0.02425,502.95056,0.09012,1,502.95056,1.09320505380243e-57,0.18339
ENSSHAG00000000780,-6326.60841,50.45899,0.76594,0.02403,0.02403,0.22622,1,1,0.00605,0.02403,162.79949,0.00179,1,162.79949,0.000329571669744894,0.00784
ENSSHAG00000000827,-9156.207542,1.00704,0.68135,0.0667,0.0667,0.30412,1,1,0.01004,0.0667,47.35788,0.00448,1,47.35788,0.000112907403436267,0.01452
ENSSHAG00000000830,-5940.882883,12.92953,0.81018,0.09982,0.09982,0.11881,1,1,0.06193,0.09982,468.89765,0.00908,1,468.89765,3.50025377387412e-29,0.07101
ENSSHAG00000000833,-2209.383928,52.12283,0.77104,0.03122,0.03122,0.15503,1,1,0.06156,0.03122,45.41613,0.01238,1,45.41613,0.000519912160716522,0.07394
ENSSHAG00000000835,-1321.390093,1.51617,0.86908,0.02523,0.02523,0.11592,1,1,0.01324,0.02523,298.89633,0.00177,1,298.89633,0.00165452896550199,0.01501
ENSSHAG00000000849,-2025.713653,0.66808,0.9475,0,0,0.02605,1,1,0.02575,0,63.27995,0.00071,1,63.27995,2.87897685316425e-07,0.02646
ENSSHAG00000000851,-2608.611318,50.84038,0.88502,0.01944,0.01944,0.10308,1,1,0.01066,0.01944,181.23899,0.00124,1,181.23899,2.45788924707703e-05,0.0119
ENSSHAG00000000858,-4790.015594,1.35198,0.68953,0.07564,0.07564,0.29391,1,1,0.01161,0.07564,109.67407,0.00495,1,109.67407,7.28655844376638e-05,0.01656
ENSSHAG00000000869,-6563.697392,4.22339,0.76773,0.0865,0.0865,0.21186,1,1,0.016,0.0865,740.24052,0.00442,1,740.24052,3.18675966268685e-05,0.02042
ENSSHAG00000000874,-12859.551614,83.1133,0.3151,0.03517,0.03517,0.35977,1,1,0.1518,0.03517,374.98274,0.17332,1,374.98274,1.68837155496886e-49,0.32512
ENSSHAG00000000885,-9051.502492,22.18096,0.63042,0.11037,0.11037,0.28937,1,1,0.05498,0.11037,556.24014,0.02524,1,556.24014,1.06658139789549e-12,0.08022
ENSSHAG00000000895,-6780.322758,3.51984,0.83993,0.0246,0.0246,0.02075,1,1,0.13596,0.0246,70.6464,0.00336,1,70.6464,2.74864713048007e-58,0.13932
ENSSHAG00000000902,-2986.694742,40.1076,0.84982,0.02241,0.02241,0.0887,1,1,0.05567,0.02241,783.54688,0.00581,1,783.54688,1.5086106627224e-05,0.06148
ENSSHAG00000000906,-6896.083357,5.80069,0.95871,0.05682,0.05682,0,1,1,0.04129,0.05682,826.38118,0,1,826.38118,2.55837528841365e-40,0.04129
ENSSHAG00000000917,-2489.421846,2.9655,0.86232,0,0,0.11902,1,1,0.01639,0,544.22233,0.00226,1,544.22233,0.0493192145231497,0.01865
ENSSHAG00000000925,-1890.178854,78.55823,0.85706,0.01774,0.01774,0,1,1,0.14294,0.01774,886.53911,0,1,886.53911,2.25953942326697e-20,0.14294
ENSSHAG00000000933,-10753.398833,8.19333,0.58447,0.07835,0.07835,0.39773,1,1,0.01059,0.07835,998.99643,0.00721,1,998.99643,0.000816190432994858,0.0178
ENSSHAG00000000934,-6207.554121,7.65102,0.95259,0.02898,0.02898,0.01715,1,1,0.02972,0.02898,843.49508,0.00054,1,843.49508,5.44889335996711e-16,0.03026
ENSSHAG00000000937,-3028.514177,71.9654,0.87345,0.01677,0.01677,0.07096,1,1,0.05141,0.01677,998.93474,0.00418,1,998.93474,2.08819778247223e-07,0.05559
ENSSHAG00000000946,-3197.254121,2.66792,0.71716,0.0553,0.0553,0.23652,1,1,0.03483,0.0553,149.17388,0.01149,1,149.17388,2.44584683357884e-10,0.04632
ENSSHAG00000000955,-1735.075382,11.6269,0.74628,0.05101,0.05101,0.17366,1,1,0.06494,0.05101,537.12162,0.01511,1,537.12162,3.5990255881822e-09,0.08005
ENSSHAG00000000968,-6742.639534,13.44847,0.8682,0.0366,0.0366,0.08729,1,1,0.04044,0.0366,446.74009,0.00407,1,446.74009,5.91565238244803e-10,0.04451
ENSSHAG00000000975,-6712.81918,35.56487,0.9466,0.02854,0.02854,0.04088,1,1,0.012,0.02854,830.18103,0.00052,1,830.18103,7.11027316710568e-05,0.01252
ENSSHAG00000000977,-6645.275097,50.84183,0.52537,0.03312,0.03312,0.32725,1,1,0.09081,0.03312,13.63778,0.05656,1,13.63778,0.000456240375810605,0.14737
ENSSHAG00000000983,-6009.87312,55.01896,0.79089,0.01534,0.01534,0.10786,1,1,0.08909,0.01534,157.46767,0.01215,1,157.46767,4.07087233531704e-34,0.10124
ENSSHAG00000000984,-3492.835235,1.48889,0.93092,0.02489,0.02489,0.06315,1,1,0.00556,0.02489,998.99999,0.00038,1,998.99999,0.00168493175636343,0.00594
ENSSHAG00000000994,-1763.115027,19.32966,0.78448,0.06356,0.06356,0.1638,1,1,0.04279,0.06356,999,0.00893,1,999,3.92256368915079e-05,0.05172
ENSSHAG00000000995,-2767.796396,76.02302,0.77629,0.04881,0.04881,0.09437,1,1,0.11533,0.04881,829.42513,0.01402,1,829.42513,2.48878945980303e-15,0.12935
ENSSHAG00000001010,-2325.001439,36.98822,0.88386,0.00387,0.00387,0,1,1,0.11614,0.00387,848.24729,0,1,848.24729,8.47345383550047e-20,0.11614
ENSSHAG00000001012,-3040.38515,35.66319,0.89903,0.08468,0.08468,0.02198,1,1,0.0771,0.08468,395.49821,0.00189,1,395.49821,3.69503903669318e-07,0.07899
ENSSHAG00000001019,-2843.380145,15.51577,0.97367,0.10232,0.10232,0,1,1,0.02633,0.10232,529.4009,0,1,529.4009,1.13917383295852e-06,0.02633
ENSSHAG00000001023,-1240.734072,26.61993,0.73901,0.07454,0.07454,0.18937,1,1,0.05701,0.07454,239.44018,0.01461,1,239.44018,0.0321114478665184,0.07162
ENSSHAG00000001025,-2838.42569,1.29935,0.92934,0.0215,0.0215,0,1,1,0.07066,0.0215,31.63169,0,1,31.63169,8.87624239246836e-06,0.07066
ENSSHAG00000001038,-3858.835796,0.89746,0.95571,0.08349,0.08349,0.01626,1,1,0.02756,0.08349,68.23611,0.00047,1,68.23611,2.03149096110541e-09,0.02803
ENSSHAG00000001040,-8691.293987,6.7609,0.72346,0.07759,0.07759,0.1592,1,1,0.09617,0.07759,60.9456,0.02116,1,60.9456,6.60847133911757e-25,0.11733
ENSSHAG00000001052,-4765.92597,63.70428,0.5607,0.04642,0.04642,0.11244,1,1,0.27227,0.04642,90.13011,0.0546,1,90.13011,1.82250088908386e-11,0.32687
ENSSHAG00000001055,-16298.798252,3.59126,0.94393,0.01369,0.01369,0.01299,1,1,0.0425,0.01369,113.36999,0.00058,1,113.36999,1.21618495459998e-68,0.04308
ENSSHAG00000001059,-6687.37633,12.73046,0.36458,0,0,0.58183,1,1,0.02064,0,999,0.03295,1,999,2.48140622605771e-20,0.05359
ENSSHAG00000001060,-8102.412328,44.78536,0.70229,0.03451,0.03451,0.23762,1,1,0.0449,0.03451,794.54789,0.01519,1,794.54789,7.9174785081511e-15,0.06009
ENSSHAG00000001062,-3342.603816,30.94361,0.95873,0.05942,0.05942,0,1,1,0.04127,0.05942,318.83406,0,1,318.83406,2.24728045290594e-13,0.04127
ENSSHAG00000001067,-2805.616936,47.61918,0.68768,0.00092,0.00092,0.03612,1,1,0.26242,0.00092,283.31816,0.01378,1,283.31816,5.63566479365304e-23,0.2762
ENSSHAG00000001078,-3107.926827,25.22124,0.9028,0.05514,0.05514,0.06784,1,1,0.02731,0.05514,764.62004,0.00205,1,764.62004,1.39224224324025e-06,0.02936
ENSSHAG00000001085,-6752.05256,9.72396,0.48294,0.02179,0.02179,0.47913,1,1,0.01904,0.02179,999,0.01889,1,999,1.51041904955488e-11,0.03793
ENSSHAG00000001088,-3997.598695,0.28382,0.9956,0.00639,0.00639,0,1,1,0.0044,0.00639,186.56834,0,1,186.56834,0.00112058965641911,0.0044
ENSSHAG00000001125,-2567.291699,20.94737,0.75032,0.09581,0.09581,0.22024,1,1,0.02276,0.09581,783.06181,0.00668,1,783.06181,1.26528437348572e-06,0.02944
ENSSHAG00000001130,-6074.434622,27.03382,0.6421,0.05803,0.05803,0.34249,1,1,0.01005,0.05803,998.99847,0.00536,1,998.99847,1.51094879847775e-05,0.01541
ENSSHAG00000001132,-6183.44637,13.80934,0.19966,0.06888,0.06888,0.5864,1,1,0.05434,0.06888,182.19866,0.1596,1,182.19866,4.33481810996215e-16,0.21394
ENSSHAG00000001134,-7444.246115,4.70395,0.80042,0.09804,0.09804,0.09598,1,1,0.09251,0.09804,112.65351,0.01109,1,112.65351,1.98043148912744e-35,0.1036
ENSSHAG00000001155,-3816.258178,4.22304,0.61971,0.0272,0.0272,0.3626,1,1,0.01116,0.0272,997.36382,0.00653,1,997.36382,5.24256250983476e-05,0.01769
ENSSHAG00000001181,-3933.725109,9.6211,0.95833,0.05331,0.05331,0,1,1,0.04167,0.05331,735.56325,0,1,735.56325,6.27858653453017e-11,0.04167
ENSSHAG00000001198,-5157.485407,9.96169,0.77122,0.128,0.128,0.21132,1,1,0.01371,0.128,15.72561,0.00376,1,15.72561,0.0417321279248655,0.01747
ENSSHAG00000001207,-4753.516927,50.75888,0.96693,0.02012,0.02012,0,1,1,0.03307,0.02012,7.57533,0,1,7.57533,1.09826743044142e-11,0.03307
ENSSHAG00000001220,-7915.719275,3.14616,0.81251,0.05507,0.05507,0.14703,1,1,0.03426,0.05507,250.03552,0.0062,1,250.03552,3.46219563457235e-13,0.04046
ENSSHAG00000001222,-4482.239863,2.15424,0.69854,0.09656,0.09656,0.17318,1,1,0.10279,0.09656,26.47341,0.02548,1,26.47341,2.45551422354713e-15,0.12827
ENSSHAG00000001235,-4954.560633,4.62766,0.58495,0.05814,0.05814,0.2571,1,1,0.10973,0.05814,16.57531,0.04823,1,16.57531,0.000161379025342088,0.15796
ENSSHAG00000001236,-2251.660516,2.44418,0.84768,0,0,0.03478,1,1,0.11291,0,89.00308,0.00463,1,89.00308,9.23915608526338e-23,0.11754
ENSSHAG00000001252,-7098.338716,4.07974,0.78366,1e-05,1e-05,0.03658,1,1,0.17175,1e-05,45.19559,0.00802,1,45.19559,7.19766511820333e-48,0.17977
ENSSHAG00000001254,-5535.024942,0.76724,0.88157,0.01629,0.01629,0.10704,1,1,0.01016,0.01629,29.79475,0.00123,1,29.79475,0.00457896760545232,0.01139
ENSSHAG00000001275,-3108.456877,15.95454,0.97609,0.12856,0.12856,0,1,1,0.02391,0.12856,582.68064,0,1,582.68064,8.88446268773201e-05,0.02391
ENSSHAG00000001276,-5475.579234,54.6865,0.68394,0.0214,0.0214,0.21604,1,1,0.07601,0.0214,193.49529,0.02401,1,193.49529,1.43134889141586e-18,0.10002
ENSSHAG00000001279,-5943.06374,2.79852,0.92798,0.0266,0.0266,0.05173,1,1,0.01922,0.0266,442.46757,0.00107,1,442.46757,8.75978396002765e-18,0.02029
ENSSHAG00000001303,-13272.967541,10.59745,0.70673,0.08618,0.08618,0.26163,1,1,0.0231,0.08618,370.16277,0.00855,1,370.16277,5.37844182595027e-10,0.03165
ENSSHAG00000001304,-4973.062892,24.88098,0.52749,0.1331,0.1331,0.38033,1,1,0.05356,0.1331,366.43874,0.03862,1,366.43874,3.47563194337852e-10,0.09218
ENSSHAG00000001306,-5481.922544,33.69068,0.83874,0.04717,0.04717,0.12495,1,1,0.03161,0.04717,381.16901,0.00471,1,381.16901,0.00155087196194549,0.03632
ENSSHAG00000001333,-6448.185905,49.66539,0.49467,0.03793,0.03793,0.40998,1,1,0.05214,0.03793,716.70085,0.04321,1,716.70085,1.17745198266393e-09,0.09535
ENSSHAG00000001366,-5242.421958,11.79626,0.94993,0.17254,0.17254,0,1,1,0.05007,0.17254,3.53169,0,1,3.53169,0.0134562574802433,0.05007
ENSSHAG00000001402,-4676.242298,3.38632,0.89031,0.08878,0.08878,0.09859,1,1,0.00999,0.08878,998.9997,0.00111,1,998.9997,1.88922054136569e-05,0.0111
ENSSHAG00000001404,-4738.653528,9.47728,0.90469,0.02368,0.02368,0.06209,1,1,0.03108,0.02368,999,0.00213,1,999,1.54776564745063e-16,0.03321
ENSSHAG00000001409,-6607.519928,22.47017,0.95235,0.03102,0.03102,0.02524,1,1,0.02184,0.03102,7.56861,0.00058,1,7.56861,0.000545285624317043,0.02242
ENSSHAG00000001426,-3276.221159,5.72764,0.48106,0.10313,0.10313,0.5024,1,1,0.00809,0.10313,998.99634,0.00845,1,998.99634,0.0389030680452624,0.01654
ENSSHAG00000001453,-1211.087633,4.3644,0.7248,0,0,0.1616,1,1,0.09289,0,72.59229,0.02071,1,72.59229,4.46754581632132e-10,0.1136
ENSSHAG00000001477,-5834.281362,7.27713,0.84963,0.00401,0.00401,0,1,1,0.15037,0.00401,121.38841,0,1,121.38841,2.20967429710116e-46,0.15037
ENSSHAG00000001478,-1419.364095,6.18242,0.76647,0.1353,0.1353,0.18694,1,1,0.03745,0.1353,999,0.00914,1,999,4.94935644361008e-11,0.04659
ENSSHAG00000001506,-2476.127781,0.78355,0.99201,0.05516,0.05516,0,1,1,0.00799,0.05516,282.2256,0,1,282.2256,0.00225319730001636,0.00799
ENSSHAG00000001515,-3901.782446,58.02706,0.81631,0.04488,0.04488,0.1682,1,1,0.01284,0.04488,999,0.00265,1,999,8.33915560394555e-10,0.01549
ENSSHAG00000001524,-2281.14506,5.13309,0.63273,0,0,0.32206,1,1,0.02996,0,371.8048,0.01525,1,371.8048,0.000145544616242497,0.04521
ENSSHAG00000001532,-2077.796932,2.11176,0.45431,0,0,0.4117,1,1,0.07029,0,12.83273,0.0637,1,12.83273,0.000915583810763514,0.13399
