gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000000253	2		1	1
ENSSHAG00000007206	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYQ8]	1	1
ENSSHAG00000000527	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VBN8]	1	1
ENSSHAG00000000524	2	transient receptor potential cation channel, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:497]	1	1
ENSSHAG00000007208	2	glucose-fructose oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096]	1	1
ENSSHAG00000011723	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WE56]	1	1
ENSSHAG00000017743	2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	1	1
ENSSHAG00000017747	2	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	1	1
ENSSHAG00000017744	2	Rap guanine nucleotide exchange factor (GEF) 1 [Source:HGNC Symbol;Acc:HGNC:4568]	1	1
ENSSHAG00000017745	1	translocator protein 2 [Source:HGNC Symbol;Acc:HGNC:21256]	0	1
ENSSHAG00000017748	2	mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]	1	1
ENSSHAG00000012137	2	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	1	1
ENSSHAG00000012135	2	gamma-aminobutyric acid (GABA) B receptor, 2 [Source:HGNC Symbol;Acc:HGNC:4507]	1	1
ENSSHAG00000012132	2	mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]	1	1
ENSSHAG00000012133	2	catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]	1	1
ENSSHAG00000005501	2	missing oocyte, meiosis regulator, homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:21905]	1	1
ENSSHAG00000001788	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VFQ6]	1	1
ENSSHAG00000012138	2	testis expressed 30 [Source:HGNC Symbol;Acc:HGNC:25188]	1	1
ENSSHAG00000013621	2	matrilin 1, cartilage matrix protein [Source:HGNC Symbol;Acc:HGNC:6907]	1	1
ENSSHAG00000013620	2	protein phosphatase 1, regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	1	1
ENSSHAG00000013623	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WKP4]	1	1
ENSSHAG00000013625	2	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	1	1
ENSSHAG00000013629	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WKQ1]	1	1
ENSSHAG00000012688	2	linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]	1	1
ENSSHAG00000012680	2	transforming growth factor, beta receptor III [Source:HGNC Symbol;Acc:HGNC:11774]	1	1
ENSSHAG00000012682	2	lipase, member H [Source:HGNC Symbol;Acc:HGNC:18483]	1	1
ENSSHAG00000012683	2	NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]	1	1
ENSSHAG00000012686	2	immunoglobulin superfamily, DCC subclass, member 4 [Source:HGNC Symbol;Acc:HGNC:13770]	1	1
ENSSHAG00000012687	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WHG3]	1	1
ENSSHAG00000001121	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VDK2]	1	1
ENSSHAG00000001124	2	PQ loop repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:26188]	1	1
ENSSHAG00000001126	2	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]	1	1
ENSSHAG00000018270	1	transmembrane channel-like 5 [Source:HGNC Symbol;Acc:HGNC:22999]	0	1
ENSSHAG00000004579	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPX8]	1	1
ENSSHAG00000004578	1	DEAD (Asp-Glu-Ala-Asp) box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	0	1
ENSSHAG00000015485	2	coiled-coil domain containing 71 [Source:HGNC Symbol;Acc:HGNC:25760]	1	1
ENSSHAG00000015484	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WS33]	1	1
ENSSHAG00000015482	2	PR domain containing 14 [Source:HGNC Symbol;Acc:HGNC:14001]	1	1
ENSSHAG00000015481	2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]	1	1
ENSSHAG00000010979	2	radial spoke 3 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:HGNC:21054]	1	1
ENSSHAG00000004571	2	keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]	1	1
ENSSHAG00000004570	2	angiogenic factor with G patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]	1	1
ENSSHAG00000004573	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPX0]	1	1
ENSSHAG00000004574	2	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1	1
ENSSHAG00000015489	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WS39]	1	1
ENSSHAG00000004576	2	electron-transfer-flavoprotein, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:3482]	1	1
ENSSHAG00000009335	2	leucine-rich repeats and calponin homology (CH) domain containing 4 [Source:HGNC Symbol;Acc:HGNC:6691]	1	1
ENSSHAG00000009336	2	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	1	1
ENSSHAG00000015868	2	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]	1	1
ENSSHAG00000009333	2	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]	1	1
ENSSHAG00000009338	2	testis-specific kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	1	1
ENSSHAG00000009339	1	growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]	0	1
ENSSHAG00000009251	2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	1	1
ENSSHAG00000009256	2	3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]	1	1
ENSSHAG00000009255	2	chromosome 11 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:18071]	1	1
ENSSHAG00000009254	2	EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531]	1	1
ENSSHAG00000009259	2	methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]	1	1
ENSSHAG00000009258	2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2 [Source:HGNC Symbol;Acc:HGNC:29515]	1	1
ENSSHAG00000005958	1	transmembrane protease, serine 11D [Source:HGNC Symbol;Acc:HGNC:24059]	0	1
ENSSHAG00000005959	2	taste receptor, type 2, member 38 [Source:HGNC Symbol;Acc:HGNC:9584]	1	1
ENSSHAG00000010971	2	v-mos Moloney murine sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7199]	1	1
ENSSHAG00000005955	1	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	0	1
ENSSHAG00000017520	2	hexosaminidase B (beta polypeptide) [Source:HGNC Symbol;Acc:HGNC:4879]	1	1
ENSSHAG00000018392	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X215]	1	1
ENSSHAG00000017521	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WZ05]	0	1
ENSSHAG00000004319	2		1	1
ENSSHAG00000004315	2	zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]	1	1
ENSSHAG00000015662	2	unc-13 homolog B (C. elegans) [Source:HGNC Symbol;Acc:HGNC:12566]	1	1
ENSSHAG00000018164	2	synaptophysin-like 2 [Source:HGNC Symbol;Acc:HGNC:27638]	1	1
ENSSHAG00000015667	2	BCL2-related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	1	1
ENSSHAG00000018162	2	prolylcarboxypeptidase (angiotensinase C) [Source:HGNC Symbol;Acc:HGNC:9344]	1	1
ENSSHAG00000015664	2	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	1	1
ENSSHAG00000011178	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCB5]	1	1
ENSSHAG00000017524	2	acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:HGNC:586]	1	1
ENSSHAG00000011173	2	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]	1	1
ENSSHAG00000011171	2	signal-induced proliferation-associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	1	1
ENSSHAG00000011170	2	sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]	1	1
ENSSHAG00000011174	2	pleiomorphic adenoma gene-like 2 [Source:HGNC Symbol;Acc:HGNC:9047]	1	1
ENSSHAG00000016881	1	EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]	0	1
ENSSHAG00000005509	2	achalasia, adrenocortical insufficiency, alacrimia [Source:HGNC Symbol;Acc:HGNC:13666]	1	1
ENSSHAG00000010452	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W9U2]	1	1
ENSSHAG00000010451	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W9U1]	0	1
ENSSHAG00000014048	2		1	1
ENSSHAG00000011569	1	PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882]	0	1
ENSSHAG00000014040	2	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	1	1
ENSSHAG00000011561	2	RasGEF domain family, member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	1	1
ENSSHAG00000014042	2	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	1	1
ENSSHAG00000011563	2	transmembrane protein 208 [Source:HGNC Symbol;Acc:HGNC:25015]	1	1
ENSSHAG00000011564	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WDM3]	1	1
ENSSHAG00000011565	2	chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:28547]	1	1
ENSSHAG00000011566	2	nuclear protein, ataxia-telangiectasia locus [Source:HGNC Symbol;Acc:HGNC:7896]	1	1
ENSSHAG00000011567	2	phosphoglucomutase 2-like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	1	1
ENSSHAG00000005043	2	attractin-like 1 [Source:HGNC Symbol;Acc:HGNC:29063]	1	1
ENSSHAG00000005041	2	microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121]	1	1
ENSSHAG00000005047	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRI1]	1	1
ENSSHAG00000005044	2	keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]	1	1
ENSSHAG00000005048	2	branched chain amino-acid transaminase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:977]	1	1
ENSSHAG00000005049	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRI3]	1	1
ENSSHAG00000006035	2	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	1	1
ENSSHAG00000006039	2	solute carrier family 12 (potassium/chloride transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:13818]	1	1
ENSSHAG00000012910	2	phospholipase C, beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	1	1
ENSSHAG00000012911	2		1	1
ENSSHAG00000012912	2	angel homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:30534]	1	1
ENSSHAG00000012913	2	PHD finger protein 20-like 1 [Source:HGNC Symbol;Acc:HGNC:24280]	1	1
ENSSHAG00000012915	2	chromosome 1 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:29876]	1	1
ENSSHAG00000012916	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WI82]	1	1
ENSSHAG00000012918	1	C-reactive protein, pentraxin-related [Source:HGNC Symbol;Acc:HGNC:2367]	0	1
ENSSHAG00000012919	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WI87]	1	1
ENSSHAG00000009921	2	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) [Source:HGNC Symbol;Acc:HGNC:2995]	1	1
ENSSHAG00000009922	2	seizure related 6 homolog (mouse)-like 2 [Source:HGNC Symbol;Acc:HGNC:30844]	1	1
ENSSHAG00000009925	2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	1	1
ENSSHAG00000009924	2	laminin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1	1
ENSSHAG00000009927	2	solute carrier family 35, member F6 [Source:HGNC Symbol;Acc:HGNC:26055]	1	1
ENSSHAG00000009926	2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	1	1
ENSSHAG00000009928	2	transcription factor-like 5 (basic helix-loop-helix) [Source:HGNC Symbol;Acc:HGNC:11646]	1	1
ENSSHAG00000004624	2	aspartoacylase (aminocyclase) 3 [Source:HGNC Symbol;Acc:HGNC:24104]	1	1
ENSSHAG00000006789	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXB6]	1	1
ENSSHAG00000014921	1	otoraplin [Source:HGNC Symbol;Acc:HGNC:8517]	0	1
ENSSHAG00000006782	1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	0	1
ENSSHAG00000006783	2	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	1	1
ENSSHAG00000006785	2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	1	1
ENSSHAG00000006787	2	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	1	1
ENSSHAG00000000079	1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	0	1
ENSSHAG00000014395	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WNB9]	1	1
ENSSHAG00000016229	2	neuropeptides B/W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	1	1
ENSSHAG00000007785	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W0N4]	0	1
ENSSHAG00000007784	2	spectrin, beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	1	1
ENSSHAG00000007782	2	carbonic anhydrase VIII [Source:HGNC Symbol;Acc:HGNC:1382]	1	1
ENSSHAG00000007780	2	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	1	1
ENSSHAG00000007789	2	zinc finger, DHHC-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20713]	1	1
ENSSHAG00000010219	2	protease, serine, 23 [Source:HGNC Symbol;Acc:HGNC:14370]	1	1
ENSSHAG00000017538	2	mediator complex subunit 12-like [Source:HGNC Symbol;Acc:HGNC:16050]	1	1
ENSSHAG00000010969	2	neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]	1	1
ENSSHAG00000010968	2	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B [Source:HGNC Symbol;Acc:HGNC:7048]	1	1
ENSSHAG00000017247	1	ninein-like [Source:HGNC Symbol;Acc:HGNC:29163]	0	1
ENSSHAG00000017530	2	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	1	1
ENSSHAG00000010965	2	GRAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:27287]	1	1
ENSSHAG00000017532	1	NME/NM23 family member 9 [Source:HGNC Symbol;Acc:HGNC:21343]	0	1
ENSSHAG00000017535	2	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	1	1
ENSSHAG00000010214	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W8Z8]	1	1
ENSSHAG00000010961	2	zinc finger protein 407 [Source:HGNC Symbol;Acc:HGNC:19904]	1	1
ENSSHAG00000017536	2	ribonuclease P/MRP 25kDa subunit-like [Source:HGNC Symbol;Acc:HGNC:19909]	1	1
ENSSHAG00000003447	2	pecanex-like 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:18760]	1	1
ENSSHAG00000003440	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VL51]	0	1
ENSSHAG00000003441	2	perilipin 5 [Source:HGNC Symbol;Acc:HGNC:33196]	1	1
ENSSHAG00000003442	2	v-rel avian reticuloendotheliosis viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9956]	1	1
ENSSHAG00000003443	2	N-acetyltransferase 10 (GCN5-related) [Source:HGNC Symbol;Acc:HGNC:29830]	1	1
ENSSHAG00000003449	2	glutamate-rich 3 [Source:HGNC Symbol;Acc:HGNC:25346]	1	1
ENSSHAG00000007562	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VZX8]	0	1
ENSSHAG00000000065	2	metadherin [Source:HGNC Symbol;Acc:HGNC:29608]	1	1
ENSSHAG00000007560	2	CD164 molecule, sialomucin [Source:HGNC Symbol;Acc:HGNC:1632]	1	1
ENSSHAG00000007566	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VZY2]	1	1
ENSSHAG00000007565	2		1	1
ENSSHAG00000001338	2	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	1	1
ENSSHAG00000001339	2	coronin, actin binding protein, 2A [Source:HGNC Symbol;Acc:HGNC:2255]	1	1
ENSSHAG00000001330	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VE88]	1	1
ENSSHAG00000016114	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WU79]	1	1
ENSSHAG00000016115	2	VAMP (vesicle-associated membrane protein)-associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]	1	1
ENSSHAG00000013437	2	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	1	1
ENSSHAG00000016112	2	Williams Beuren syndrome chromosome region 22 [Source:HGNC Symbol;Acc:HGNC:16405]	1	1
ENSSHAG00000002442	2	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	1	1
ENSSHAG00000004148	2	vaccinia related kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]	1	1
ENSSHAG00000004149	2		1	1
ENSSHAG00000015874	1	hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]	0	1
ENSSHAG00000015875	2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30916]	1	1
ENSSHAG00000015872	2	spalt-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]	1	1
ENSSHAG00000015870	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTD9]	1	1
ENSSHAG00000004143	2	TERF1 (TRF1)-interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]	1	1
ENSSHAG00000004144	2	lymphotoxin beta (TNF superfamily, member 3) [Source:HGNC Symbol;Acc:HGNC:6711]	1	1
ENSSHAG00000004145	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VNG7]	0	1
ENSSHAG00000004146	1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	0	1
ENSSHAG00000015879	1	leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261]	0	1
ENSSHAG00000011366	2	high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]	1	1
ENSSHAG00000011367	1	breast cancer 1, early onset [Source:HGNC Symbol;Acc:HGNC:1100]	0	1
ENSSHAG00000011365	1	natriuretic peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:7945]	0	1
ENSSHAG00000011361	2	engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]	1	1
ENSSHAG00000018806	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X3H4]	1	1
ENSSHAG00000016371	2	BarH-like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]	1	1
ENSSHAG00000016373	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WV23]	1	1
ENSSHAG00000016375	1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	0	1
ENSSHAG00000016377	2	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	1	1
ENSSHAG00000006813	2	cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]	1	1
ENSSHAG00000006816	2	RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]	1	1
ENSSHAG00000006817	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXF0]	1	1
ENSSHAG00000006818	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXF1]	1	1
ENSSHAG00000006819	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXF2]	0	1
