gene	description	total	composite.snps.afchange.top.genes.100000bp	composite.snps.timeseries.top.genes.100000bp
ENSSHAG00000017543	1	polymerase (DNA directed), epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	1	0
ENSSHAG00000016768	1	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1	0
ENSSHAG00000010681	1	T-cell acute lymphocytic leukemia 1 [Source:HGNC Symbol;Acc:HGNC:11556]	0	1
ENSSHAG00000018505	1	phosphatidylinositol-4-phosphate 5-kinase-like 1 [Source:HGNC Symbol;Acc:HGNC:28711]	1	0
ENSSHAG00000009724	1	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	1	0
ENSSHAG00000006325	1	TANK-binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	0	1
ENSSHAG00000011775	2	protein phosphatase 2, regulatory subunit B', delta [Source:HGNC Symbol;Acc:HGNC:9312]	1	1
ENSSHAG00000017386	1	integrin beta 3 binding protein (beta3-endonexin) [Source:HGNC Symbol;Acc:HGNC:6157]	0	1
ENSSHAG00000005659	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VTJ8]	0	1
ENSSHAG00000017364	1	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	0	1
ENSSHAG00000012211	1	poliovirus receptor-related 3 [Source:HGNC Symbol;Acc:HGNC:17664]	1	0
ENSSHAG00000003648	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VLT5]	0	1
ENSSHAG00000011715	1	sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295]	0	1
ENSSHAG00000003642	1	zinc finger protein 354C [Source:HGNC Symbol;Acc:HGNC:16736]	0	1
ENSSHAG00000018343	1	chromosome 3 open reading frame 14 [Source:HGNC Symbol;Acc:HGNC:25024]	0	1
ENSSHAG00000000563	1	chromosome 19 open reading frame 10 [Source:HGNC Symbol;Acc:HGNC:16948]	1	0
ENSSHAG00000005429	1	metastasis suppressor 1-like [Source:HGNC Symbol;Acc:HGNC:25094]	0	1
ENSSHAG00000016798	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WWI4]	1	0
ENSSHAG00000005137	1	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	1	0
ENSSHAG00000000182	1	interleukin 22 receptor, alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901]	0	1
ENSSHAG00000013360	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WJS5]	0	1
ENSSHAG00000016162	1	tigger transposable element derived 7 [Source:HGNC Symbol;Acc:HGNC:18331]	1	0
ENSSHAG00000010615	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WAD7]	1	0
ENSSHAG00000010611	1	transmembrane and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28324]	1	0
ENSSHAG00000011401	2	pre T-cell antigen receptor alpha [Source:HGNC Symbol;Acc:HGNC:21290]	1	1
ENSSHAG00000011211	1	quiescin Q6 sulfhydryl oxidase 2 [Source:HGNC Symbol;Acc:HGNC:30249]	1	0
ENSSHAG00000012091	2	mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056]	1	1
ENSSHAG00000002099	1	FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002]	0	1
ENSSHAG00000011350	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCX1]	0	1
ENSSHAG00000001347	1	eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	1	0
ENSSHAG00000017016	1	chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350]	0	1
ENSSHAG00000016542	1	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	1	0
ENSSHAG00000003948	1	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	0	1
ENSSHAG00000008753	1	tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]	1	0
ENSSHAG00000016426	1	Mediterranean fever [Source:HGNC Symbol;Acc:HGNC:6998]	1	0
ENSSHAG00000016245	1	glutamate receptor, metabotropic 1 [Source:HGNC Symbol;Acc:HGNC:4593]	1	0
ENSSHAG00000010367	1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	0	1
ENSSHAG00000011327	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCU2]	1	0
ENSSHAG00000016947	1	coiled-coil domain containing 142 [Source:HGNC Symbol;Acc:HGNC:25889]	0	1
ENSSHAG00000016946	1		0	1
ENSSHAG00000013789	1		0	1
ENSSHAG00000011966	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WEY6]	1	1
ENSSHAG00000016339	1	paroxysmal nonkinesigenic dyskinesia [Source:HGNC Symbol;Acc:HGNC:9153]	1	0
ENSSHAG00000006620	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VWR0]	0	1
ENSSHAG00000006625	1	leucine rich repeat containing 53 [Source:HGNC Symbol;Acc:HGNC:25255]	0	1
ENSSHAG00000009472	1	ash1 (absent, small, or homeotic)-like (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19088]	1	0
ENSSHAG00000016833	1	DEAQ box RNA-dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]	0	1
ENSSHAG00000005180	1	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	0	1
ENSSHAG00000002964	1	signal sequence receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11323]	1	0
ENSSHAG00000006768	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VX91]	0	1
ENSSHAG00000004198	1	Cbl proto-oncogene C, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:15961]	0	1
ENSSHAG00000012235	1	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	1	0
ENSSHAG00000005349	1		0	1
ENSSHAG00000007146	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYJ5]	0	1
ENSSHAG00000010969	1	neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]	1	0
ENSSHAG00000011034	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WBU4]	0	1
ENSSHAG00000017535	1	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	1	0
ENSSHAG00000014999	1	G patch domain containing 2-like [Source:HGNC Symbol;Acc:HGNC:20210]	0	1
ENSSHAG00000009109	1	autocrine motility factor receptor, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:463]	1	0
ENSSHAG00000003449	1	glutamate-rich 3 [Source:HGNC Symbol;Acc:HGNC:25346]	0	1
ENSSHAG00000014830	1	T-cell immunoglobulin and mucin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25132]	0	1
ENSSHAG00000007043	1	exportin, tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	0	1
ENSSHAG00000017586	1	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7710]	0	1
ENSSHAG00000004448	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPH8]	0	1
ENSSHAG00000017582	1	kelch repeat and BTB (POZ) domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23761]	0	1
ENSSHAG00000010916	1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	0	1
ENSSHAG00000010917	1	HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]	1	0
ENSSHAG00000017622	1	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	0	1
ENSSHAG00000005502	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VT14]	0	1
ENSSHAG00000011146	1	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B [Source:HGNC Symbol;Acc:HGNC:10730]	1	0
ENSSHAG00000017902	1	protein tyrosine phosphatase, receptor type, G [Source:HGNC Symbol;Acc:HGNC:9671]	0	1
ENSSHAG00000000833	1	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	1	0
ENSSHAG00000001423	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEJ3]	1	0
ENSSHAG00000002693	1	ADP-ribosylation factor-like 9 [Source:HGNC Symbol;Acc:HGNC:23592]	0	1
ENSSHAG00000010664	1	solute carrier family 35, member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	1	0
ENSSHAG00000005760	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VTW0]	1	0
ENSSHAG00000009969	1	regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039]	0	1
ENSSHAG00000006198	1	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	0	1
ENSSHAG00000011088	1	endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]	0	1
ENSSHAG00000009965	1	sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934]	1	0
ENSSHAG00000013050	1	proline rich 21 [Source:HGNC Symbol;Acc:HGNC:33866]	0	1
ENSSHAG00000009085	1	NCK-associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]	0	1
ENSSHAG00000001766	1	SEC14-like 5 (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:29032]	1	0
ENSSHAG00000012757	1	WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]	0	1
ENSSHAG00000011649	2	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	1	1
ENSSHAG00000011219	2	ribosomal protein L7-like 1 [Source:HGNC Symbol;Acc:HGNC:21370]	1	1
ENSSHAG00000017571	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WZ63]	0	1
ENSSHAG00000004399	1	insulin-like 3 (Leydig cell) [Source:HGNC Symbol;Acc:HGNC:6086]	0	1
ENSSHAG00000001052	1	solute carrier family 19 (folate transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	1	0
ENSSHAG00000010563	1	Src homology 2 domain containing transforming protein D [Source:HGNC Symbol;Acc:HGNC:30633]	1	0
ENSSHAG00000016876	1	mal, T-cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	1	0
ENSSHAG00000003539	1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	0	1
ENSSHAG00000003531	1	zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]	0	1
ENSSHAG00000003343	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VKU3]	0	1
ENSSHAG00000016985	1	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	0	1
ENSSHAG00000004092	1	aquaporin 8 [Source:HGNC Symbol;Acc:HGNC:642]	1	0
ENSSHAG00000014655	1	HAUS augmin-like complex, subunit 6 [Source:HGNC Symbol;Acc:HGNC:25948]	1	0
ENSSHAG00000010095	1	SCL/TAL1 interrupting locus [Source:HGNC Symbol;Acc:HGNC:10879]	0	1
ENSSHAG00000018857	1	chromosome 9 open reading frame 114 [Source:HGNC Symbol;Acc:HGNC:26933]	0	1
ENSSHAG00000015902	1	ubiquitin specific peptidase 37 [Source:HGNC Symbol;Acc:HGNC:20063]	1	0
ENSSHAG00000002973	1	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	0	1
ENSSHAG00000009141	1	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	1	0
ENSSHAG00000013805	1	alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356]	1	0
ENSSHAG00000006539	1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	0	1
ENSSHAG00000010389	1	protease, serine, 38 [Source:HGNC Symbol;Acc:HGNC:29625]	0	1
ENSSHAG00000010383	1	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	1	0
ENSSHAG00000000629	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VBZ9]	0	1
ENSSHAG00000003083	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VK05]	0	1
ENSSHAG00000011066	1	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]	1	0
ENSSHAG00000010894	1	myeloid cell leukemia 1 [Source:HGNC Symbol;Acc:HGNC:6943]	0	1
ENSSHAG00000011102	1	GDP-D-glucose phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:34360]	1	0
ENSSHAG00000013202	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WJ85]	0	1
ENSSHAG00000017371	1	membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]	0	1
ENSSHAG00000018038	1	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	1	0
ENSSHAG00000003654	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VLU3]	1	0
ENSSHAG00000000475	1	dynein, axonemal, heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:2951]	0	1
ENSSHAG00000004935	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VR42]	0	1
ENSSHAG00000009663	1	actin filament associated protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:26714]	0	1
ENSSHAG00000017397	1	phosphatidic acid phosphatase type 2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:25026]	0	1
ENSSHAG00000007550	1	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	0	1
ENSSHAG00000017650	1	ring finger protein 183 [Source:HGNC Symbol;Acc:HGNC:28721]	1	0
ENSSHAG00000010449	1	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	1	0
ENSSHAG00000017714	1	FK506 binding protein 15, 133kDa [Source:HGNC Symbol;Acc:HGNC:23397]	1	0
ENSSHAG00000017658	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	1	0
ENSSHAG00000016783	1	lysyl oxidase-like 3 [Source:HGNC Symbol;Acc:HGNC:13869]	0	1
ENSSHAG00000017096	1	dynactin 1 [Source:HGNC Symbol;Acc:HGNC:2711]	0	1
ENSSHAG00000016872	1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]	0	1
ENSSHAG00000000179	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VAK9]	0	1
ENSSHAG00000017898	1	suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846]	1	0
ENSSHAG00000017950	1	G protein-coupled receptor 179 [Source:HGNC Symbol;Acc:HGNC:31371]	1	0
ENSSHAG00000000372	1	splicing factor 3b, subunit 3, 130kDa [Source:HGNC Symbol;Acc:HGNC:10770]	0	1
ENSSHAG00000001716	2	transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]	1	1
ENSSHAG00000017008	1	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	0	1
ENSSHAG00000001377	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEE2]	1	0
ENSSHAG00000011779	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WEB8]	1	0
ENSSHAG00000002402	1		0	1
ENSSHAG00000011803	1	ubiquitin-conjugating enzyme E2D 2 [Source:HGNC Symbol;Acc:HGNC:12475]	1	0
ENSSHAG00000017438	1	CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	0	1
ENSSHAG00000009365	1	GrpE-like 2, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:HGNC:21060]	0	1
ENSSHAG00000004293	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VNZ2]	1	0
ENSSHAG00000008138	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W1V0]	1	0
ENSSHAG00000010527	1	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	0	1
ENSSHAG00000013652	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WKS7]	1	0
ENSSHAG00000011877	2	male-enhanced antigen 1 [Source:HGNC Symbol;Acc:HGNC:6986]	1	1
ENSSHAG00000011023	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WBT3]	1	0
ENSSHAG00000007875	1	suprabasin [Source:HGNC Symbol;Acc:HGNC:24950]	0	1
ENSSHAG00000007874	1	oxysterol binding protein-like 6 [Source:HGNC Symbol;Acc:HGNC:16388]	0	1
ENSSHAG00000016847	1	T-cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]	0	1
ENSSHAG00000010799	1	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) [Source:HGNC Symbol;Acc:HGNC:9440]	0	1
ENSSHAG00000006773	1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O [Source:HGNC Symbol;Acc:HGNC:4389]	1	0
ENSSHAG00000004688	1	potassium channel, subfamily T, member 1 [Source:HGNC Symbol;Acc:HGNC:18865]	1	0
ENSSHAG00000008467	1	breast carcinoma amplified sequence 2 [Source:HGNC Symbol;Acc:HGNC:975]	0	1
ENSSHAG00000011595	2	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	1	1
ENSSHAG00000004590	2	SET domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29187]	1	1
ENSSHAG00000018862	1	cysteine conjugate-beta lyase, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:1564]	0	1
ENSSHAG00000018861	2	tRNA nucleotidyl transferase, CCA-adding, 1 [Source:HGNC Symbol;Acc:HGNC:17341]	1	1
ENSSHAG00000018867	2	cereblon [Source:HGNC Symbol;Acc:HGNC:30185]	1	1
ENSSHAG00000006483	1	adenosine deaminase, RNA-specific, B1 [Source:HGNC Symbol;Acc:HGNC:226]	1	0
ENSSHAG00000014231	1	family with sequence similarity 154, member A [Source:HGNC Symbol;Acc:HGNC:28566]	1	0
ENSSHAG00000010318	1		1	0
ENSSHAG00000004209	1	clarin 3 [Source:HGNC Symbol;Acc:HGNC:20795]	0	1
ENSSHAG00000010707	1	ADAMTS-like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	0	1
ENSSHAG00000005936	1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	0	1
ENSSHAG00000016585	1	meiosis 1 associated protein [Source:HGNC Symbol;Acc:HGNC:25183]	0	1
ENSSHAG00000003455	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VL68]	0	1
ENSSHAG00000004978	1	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	0	1
ENSSHAG00000004971	1	interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]	0	1
ENSSHAG00000017598	1	family with sequence similarity 180, member B [Source:HGNC Symbol;Acc:HGNC:34451]	0	1
ENSSHAG00000005903	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VUD7]	0	1
ENSSHAG00000011155	1		1	0
