ensembl_gene_id	mdomestica_homolog_ensembl_gene	neugenii_homolog_ensembl_gene	koala_transcript_id
ENSSHAG00000000034	ENSMODG00000009136	ENSMEUG00000002863	Locus_8511_Transcript_27/43_Confidence_0.259_Length_2241
ENSSHAG00000000035	ENSMODG00000025772	ENSMEUG00000007032	NA
ENSSHAG00000000037	NA	ENSMEUG00000013909	Locus_17523_Transcript_9/22_Confidence_0.115_Length_2707
ENSSHAG00000000038	ENSMODG00000010543	ENSMEUG00000003615	Locus_2902_Transcript_55/93_Confidence_0.106_Length_4198
ENSSHAG00000000039	ENSMODG00000009589	ENSMEUG00000001988	NA
ENSSHAG00000000040	ENSMODG00000010743	ENSMEUG00000005886	Locus_10850_Transcript_8/23_Confidence_0.062_Length_2455
ENSSHAG00000000041	ENSMODG00000028477	ENSMEUG00000008445	Locus_74_Transcript_1/14_Confidence_0.227_Length_1260
ENSSHAG00000000042	ENSMODG00000016083	ENSMEUG00000013639	Locus_88_Transcript_7873/16303_Confidence_0.000_Length_2775
ENSSHAG00000000043	ENSMODG00000019493	NA	Locus_45482_Transcript_19/27_Confidence_0.121_Length_1774
ENSSHAG00000000044	ENSMODG00000016301	ENSMEUG00000015053	NA
ENSSHAG00000000045	ENSMODG00000009927	NA	Locus_16998_Transcript_6/13_Confidence_0.462_Length_705
ENSSHAG00000000050	ENSMODG00000005970	ENSMEUG00000014122	Locus_20332_Transcript_29/44_Confidence_0.349_Length_3131
ENSSHAG00000000051	ENSMODG00000012074	ENSMEUG00000013566	Locus_7271_Transcript_3/17_Confidence_0.364_Length_5137
ENSSHAG00000000052	ENSMODG00000001767	ENSMEUG00000014936	Locus_7177_Transcript_92/100_Confidence_0.075_Length_2243
ENSSHAG00000000053	ENSMODG00000002912	ENSMEUG00000011743	NA
ENSSHAG00000000055	ENSMODG00000023889	ENSMEUG00000001476	Locus_10389_Transcript_90/134_Confidence_0.041_Length_585
ENSSHAG00000000057	ENSMODG00000029579	NA	Locus_88_Transcript_11795/16303_Confidence_0.000_Length_5188
ENSSHAG00000000058	ENSMODG00000019589	NA	Locus_10154_Transcript_8/27_Confidence_0.200_Length_754
ENSSHAG00000000059	ENSMODG00000025772	ENSMEUG00000007032	NA
ENSSHAG00000000061	ENSMODG00000001669	ENSMEUG00000004170	NA
ENSSHAG00000000062	ENSMODG00000025772	ENSMEUG00000007032	NA
ENSSHAG00000000063	ENSMODG00000005183	ENSMEUG00000014322	Locus_92363_Transcript_10/32_Confidence_0.513_Length_6547
ENSSHAG00000000064	ENSMODG00000010746	ENSMEUG00000014848	Locus_20371_Transcript_10/24_Confidence_0.260_Length_5203
ENSSHAG00000000065	ENSMODG00000006865	ENSMEUG00000015919	Locus_682_Transcript_12/19_Confidence_0.769_Length_7729
ENSSHAG00000000066	ENSMODG00000015066	ENSMEUG00000002145	NA
ENSSHAG00000000067	NA	ENSMEUG00000013843	Locus_14657_Transcript_1/3_Confidence_0.250_Length_2193
ENSSHAG00000000068	ENSMODG00000009307	ENSMEUG00000003316	Locus_13406_Transcript_4/16_Confidence_0.467_Length_3447
ENSSHAG00000000069	ENSMODG00000020872	ENSMEUG00000014006	Locus_6922_Transcript_8/24_Confidence_0.395_Length_4104
ENSSHAG00000000070	ENSMODG00000017621	ENSMEUG00000005242	Locus_1217_Transcript_55/98_Confidence_0.198_Length_6390
ENSSHAG00000000072	ENSMODG00000007600	ENSMEUG00000010026	Locus_30201_Transcript_1/12_Confidence_0.219_Length_2163
ENSSHAG00000000073	ENSMODG00000013358	ENSMEUG00000013617	Locus_3166_Transcript_2/13_Confidence_0.208_Length_4718
ENSSHAG00000000074	ENSMODG00000015114	NA	Locus_13005_Transcript_14/26_Confidence_0.148_Length_3967
ENSSHAG00000000076	ENSMODG00000021162	ENSMEUG00000007275	Locus_28447_Transcript_12/23_Confidence_0.242_Length_3014
ENSSHAG00000000077	ENSMODG00000002824	ENSMEUG00000012773	Locus_3839_Transcript_22/36_Confidence_0.203_Length_4491
ENSSHAG00000000079	ENSMODG00000010663	ENSMEUG00000000470	Locus_20932_Transcript_11/46_Confidence_0.471_Length_4840
ENSSHAG00000000080	ENSMODG00000010682	ENSMEUG00000014795	Locus_4292_Transcript_11/36_Confidence_0.364_Length_2404
ENSSHAG00000000081	ENSMODG00000022706	ENSMEUG00000006071	Locus_11014_Transcript_19/19_Confidence_0.000_Length_2405
ENSSHAG00000000084	ENSMODG00000015002	ENSMEUG00000008443	Locus_2200_Transcript_29/35_Confidence_0.771_Length_3831
ENSSHAG00000000085	ENSMODG00000006556	ENSMEUG00000006082	Locus_455_Transcript_1/1_Confidence_0.000_Length_2726
ENSSHAG00000000088	ENSMODG00000018581	ENSMEUG00000002679	Locus_4850_Transcript_2/4_Confidence_0.750_Length_4295
ENSSHAG00000000089	ENSMODG00000024817	ENSMEUG00000006596	Locus_14204_Transcript_23/26_Confidence_0.155_Length_974
ENSSHAG00000000091	ENSMODG00000028535	ENSMEUG00000003218	Locus_11760_Transcript_14/19_Confidence_0.286_Length_1283
ENSSHAG00000000092	NA	ENSMEUG00000015400	Locus_20662_Transcript_5/10_Confidence_0.250_Length_1128
ENSSHAG00000000094	ENSMODG00000016096	ENSMEUG00000000554	Locus_7540_Transcript_4/9_Confidence_0.176_Length_2191
ENSSHAG00000000095	ENSMODG00000017869	ENSMEUG00000009200	Locus_2151_Transcript_1/16_Confidence_0.091_Length_1332
ENSSHAG00000000096	NA	ENSMEUG00000014622	Locus_7947_Transcript_42/54_Confidence_0.115_Length_4142
ENSSHAG00000000098	ENSMODG00000028977	NA	Locus_80469_Transcript_10/12_Confidence_0.040_Length_1769
ENSSHAG00000000099	ENSMODG00000002650	ENSMEUG00000005138	NA
ENSSHAG00000000103	ENSMODG00000025574	ENSMEUG00000012039	Locus_5870_Transcript_4/28_Confidence_0.333_Length_1010
ENSSHAG00000000105	ENSMODG00000005034	ENSMEUG00000012366	Locus_13478_Transcript_17/45_Confidence_0.099_Length_1002
ENSSHAG00000000106	ENSMODG00000013851	ENSMEUG00000000254	Locus_8955_Transcript_10/17_Confidence_0.471_Length_6424
ENSSHAG00000000108	NA	ENSMEUG00000009745	Locus_567_Transcript_15/91_Confidence_0.086_Length_2798
ENSSHAG00000000110	ENSMODG00000002032	ENSMEUG00000006793	Locus_1852_Transcript_15/52_Confidence_0.300_Length_6002
ENSSHAG00000000111	ENSMODG00000028389	ENSMEUG00000001388	Locus_12306_Transcript_9/13_Confidence_0.156_Length_770
ENSSHAG00000000112	ENSMODG00000006692	ENSMEUG00000008947	Locus_67_Transcript_17/75_Confidence_0.020_Length_2842
ENSSHAG00000000114	ENSMODG00000005657	ENSMEUG00000001974	Locus_17531_Transcript_14/29_Confidence_0.476_Length_1703
ENSSHAG00000000116	ENSMODG00000006787	ENSMEUG00000001774	Locus_2847_Transcript_11/37_Confidence_0.062_Length_3024
ENSSHAG00000000117	ENSMODG00000010596	ENSMEUG00000012694	Locus_332_Transcript_109/216_Confidence_0.124_Length_1575
ENSSHAG00000000119	ENSMODG00000000524	ENSMEUG00000012182	Locus_12570_Transcript_32/62_Confidence_0.125_Length_3876
ENSSHAG00000000120	NA	ENSMEUG00000010116	Locus_5070_Transcript_15/50_Confidence_0.404_Length_6349
ENSSHAG00000000121	ENSMODG00000001067	ENSMEUG00000015765	Locus_89227_Transcript_26/62_Confidence_0.452_Length_3544
ENSSHAG00000000122	NA	ENSMEUG00000010125	Locus_5070_Transcript_29/50_Confidence_0.191_Length_4851
ENSSHAG00000000125	ENSMODG00000004429	ENSMEUG00000008280	Locus_5865_Transcript_44/89_Confidence_0.041_Length_4339
ENSSHAG00000000126	ENSMODG00000002283	ENSMEUG00000006142	NA
ENSSHAG00000000127	ENSMODG00000013537	ENSMEUG00000005635	NA
ENSSHAG00000000129	ENSMODG00000001723	ENSMEUG00000000865	Locus_7472_Transcript_11/12_Confidence_0.816_Length_3116
ENSSHAG00000000130	ENSMODG00000007767	ENSMEUG00000004320	Locus_7123_Transcript_64/96_Confidence_0.135_Length_5944
ENSSHAG00000000131	ENSMODG00000010095	ENSMEUG00000009424	Locus_2794_Transcript_41/52_Confidence_0.176_Length_561
ENSSHAG00000000132	ENSMODG00000002889	ENSMEUG00000002364	Locus_25636_Transcript_41/75_Confidence_0.145_Length_3896
ENSSHAG00000000134	ENSMODG00000020625	ENSMEUG00000012758	Locus_91468_Transcript_2/8_Confidence_0.700_Length_3003
ENSSHAG00000000135	ENSMODG00000002349	NA	Locus_3578_Transcript_12/31_Confidence_0.108_Length_2150
ENSSHAG00000000136	ENSMODG00000007480	NA	Locus_9571_Transcript_4/53_Confidence_0.164_Length_785
ENSSHAG00000000138	ENSMODG00000010324	ENSMEUG00000010233	Locus_2444_Transcript_174/191_Confidence_0.026_Length_1383
ENSSHAG00000000140	ENSMODG00000010099	ENSMEUG00000004221	Locus_10177_Transcript_46/55_Confidence_0.371_Length_2678
ENSSHAG00000000144	ENSMODG00000010274	ENSMEUG00000014602	Locus_6196_Transcript_27/63_Confidence_0.083_Length_650
ENSSHAG00000000147	ENSMODG00000019930	ENSMEUG00000000387	NA
ENSSHAG00000000149	ENSMODG00000013428	ENSMEUG00000013554	NA
ENSSHAG00000000152	ENSMODG00000025791	NA	Locus_3418_Transcript_6/112_Confidence_0.018_Length_2143
ENSSHAG00000000153	ENSMODG00000001186	ENSMEUG00000012888	Locus_2942_Transcript_14/14_Confidence_0.079_Length_4384
ENSSHAG00000000154	ENSMODG00000000990	ENSMEUG00000013706	Locus_22444_Transcript_2/19_Confidence_0.429_Length_959
ENSSHAG00000000155	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000156	ENSMODG00000011946	ENSMEUG00000011734	Locus_3355_Transcript_41/62_Confidence_0.162_Length_4552
ENSSHAG00000000157	ENSMODG00000008596	ENSMEUG00000010402	Locus_30996_Transcript_3/7_Confidence_0.429_Length_2484
ENSSHAG00000000158	ENSMODG00000008013	ENSMEUG00000005439	NA
ENSSHAG00000000162	ENSMODG00000025627	ENSMEUG00000011844	Locus_34620_Transcript_1/6_Confidence_0.500_Length_1492
ENSSHAG00000000163	ENSMODG00000022948	ENSMEUG00000009996	Locus_10399_Transcript_5/5_Confidence_0.167_Length_2358
ENSSHAG00000000164	ENSMODG00000014968	ENSMEUG00000014623	NA
ENSSHAG00000000166	ENSMODG00000006161	ENSMEUG00000000375	Locus_15518_Transcript_26/29_Confidence_0.438_Length_3363
ENSSHAG00000000167	ENSMODG00000005099	ENSMEUG00000005610	Locus_447_Transcript_85/98_Confidence_0.025_Length_1163
ENSSHAG00000000169	ENSMODG00000023622	ENSMEUG00000004874	NA
ENSSHAG00000000170	ENSMODG00000016017	ENSMEUG00000016763	Locus_88_Transcript_3954/16303_Confidence_0.000_Length_3551
ENSSHAG00000000171	ENSMODG00000010227	ENSMEUG00000009448	NA
ENSSHAG00000000173	ENSMODG00000018646	NA	Locus_5196_Transcript_13/37_Confidence_0.463_Length_5595
ENSSHAG00000000174	ENSMODG00000016075	ENSMEUG00000003554	Locus_21782_Transcript_7/9_Confidence_0.294_Length_2981
ENSSHAG00000000176	ENSMODG00000014968	ENSMEUG00000014623	NA
ENSSHAG00000000177	ENSMODG00000011441	ENSMEUG00000006094	Locus_22499_Transcript_11/17_Confidence_0.300_Length_6125
ENSSHAG00000000181	NA	ENSMEUG00000001336	Locus_9737_Transcript_10/17_Confidence_0.654_Length_2136
ENSSHAG00000000185	ENSMODG00000017663	ENSMEUG00000006936	NA
ENSSHAG00000000186	ENSMODG00000010078	ENSMEUG00000002885	Locus_6177_Transcript_18/41_Confidence_0.419_Length_2739
ENSSHAG00000000187	ENSMODG00000005140	ENSMEUG00000011752	Locus_22706_Transcript_1/2_Confidence_0.667_Length_1418
ENSSHAG00000000188	ENSMODG00000003088	ENSMEUG00000011881	Locus_10155_Transcript_48/66_Confidence_0.019_Length_4509
ENSSHAG00000000189	ENSMODG00000028248	ENSMEUG00000004692	Locus_1416_Transcript_91/105_Confidence_0.110_Length_1352
ENSSHAG00000000191	ENSMODG00000015789	ENSMEUG00000003353	Locus_422_Transcript_9/30_Confidence_0.231_Length_1031
ENSSHAG00000000194	ENSMODG00000017598	ENSMEUG00000004077	Locus_9296_Transcript_17/27_Confidence_0.087_Length_2972
ENSSHAG00000000195	ENSMODG00000015076	ENSMEUG00000001958	Locus_43953_Transcript_2/6_Confidence_0.600_Length_2140
ENSSHAG00000000199	ENSMODG00000001059	ENSMEUG00000002079	NA
ENSSHAG00000000200	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000201	ENSMODG00000001890	ENSMEUG00000003594	NA
ENSSHAG00000000202	ENSMODG00000021540	ENSMEUG00000012010	Locus_104485_Transcript_1/1_Confidence_0.000_Length_998
ENSSHAG00000000206	ENSMODG00000000907	NA	Locus_12761_Transcript_24/38_Confidence_0.333_Length_2092
ENSSHAG00000000208	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000210	ENSMODG00000025772	ENSMEUG00000007032	NA
ENSSHAG00000000214	ENSMODG00000009531	NA	Locus_4054_Transcript_27/39_Confidence_0.047_Length_3838
ENSSHAG00000000215	ENSMODG00000011060	ENSMEUG00000014239	Locus_23679_Transcript_19/35_Confidence_0.395_Length_3523
ENSSHAG00000000216	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000218	ENSMODG00000015045	NA	Locus_59251_Transcript_4/12_Confidence_0.050_Length_1785
ENSSHAG00000000219	ENSMODG00000014262	ENSMEUG00000011014	Locus_101156_Transcript_1/7_Confidence_0.312_Length_2686
ENSSHAG00000000220	ENSMODG00000003364	ENSMEUG00000015212	Locus_15865_Transcript_4/6_Confidence_0.545_Length_4218
ENSSHAG00000000221	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000222	ENSMODG00000014554	ENSMEUG00000008653	NA
ENSSHAG00000000223	ENSMODG00000015012	ENSMEUG00000001483	Locus_90091_Transcript_21/26_Confidence_0.387_Length_1011
ENSSHAG00000000225	ENSMODG00000001210	ENSMEUG00000010542	Locus_130_Transcript_16/35_Confidence_0.125_Length_4787
ENSSHAG00000000226	ENSMODG00000014013	ENSMEUG00000009642	Locus_1279_Transcript_5/13_Confidence_0.357_Length_1171
ENSSHAG00000000227	ENSMODG00000011451	NA	Locus_13927_Transcript_3/6_Confidence_0.644_Length_1655
ENSSHAG00000000229	ENSMODG00000014282	ENSMEUG00000009495	Locus_9617_Transcript_17/29_Confidence_0.294_Length_1363
ENSSHAG00000000231	ENSMODG00000020453	ENSMEUG00000016717	Locus_23710_Transcript_9/12_Confidence_0.351_Length_944
ENSSHAG00000000232	ENSMODG00000025386	NA	Locus_22996_Transcript_10/23_Confidence_0.375_Length_11223
ENSSHAG00000000234	ENSMODG00000001883	ENSMEUG00000014369	NA
ENSSHAG00000000237	ENSMODG00000020876	ENSMEUG00000011662	Locus_2194_Transcript_18/31_Confidence_0.413_Length_4015
ENSSHAG00000000238	ENSMODG00000009389	ENSMEUG00000015761	NA
ENSSHAG00000000242	ENSMODG00000016628	ENSMEUG00000000134	NA
ENSSHAG00000000243	ENSMODG00000025772	ENSMEUG00000007032	NA
ENSSHAG00000000244	ENSMODG00000011579	ENSMEUG00000001411	NA
ENSSHAG00000000245	ENSMODG00000004933	ENSMEUG00000000922	Locus_46563_Transcript_1/2_Confidence_0.333_Length_318
ENSSHAG00000000246	ENSMODG00000020399	ENSMEUG00000005501	NA
ENSSHAG00000000247	ENSMODG00000023285	ENSMEUG00000012788	NA
ENSSHAG00000000250	ENSMODG00000014707	ENSMEUG00000002528	Locus_84_Transcript_13/18_Confidence_0.659_Length_6007
ENSSHAG00000000251	ENSMODG00000008827	ENSMEUG00000009016	Locus_13118_Transcript_28/35_Confidence_0.397_Length_2350
ENSSHAG00000000252	ENSMODG00000006497	NA	Locus_24176_Transcript_2/11_Confidence_0.647_Length_1141
ENSSHAG00000000253	ENSMODG00000013144	ENSMEUG00000011698	NA
ENSSHAG00000000254	ENSMODG00000005187	ENSMEUG00000013864	Locus_1032_Transcript_5/10_Confidence_0.057_Length_5900
ENSSHAG00000000255	ENSMODG00000023640	ENSMEUG00000015797	NA
ENSSHAG00000000256	ENSMODG00000019072	ENSMEUG00000012897	NA
ENSSHAG00000000258	ENSMODG00000002596	ENSMEUG00000011102	NA
ENSSHAG00000000260	ENSMODG00000007204	ENSMEUG00000006423	Locus_11194_Transcript_6/7_Confidence_0.600_Length_3336
ENSSHAG00000000262	ENSMODG00000004601	ENSMEUG00000005376	Locus_20050_Transcript_2/4_Confidence_0.667_Length_1540
ENSSHAG00000000263	ENSMODG00000020086	ENSMEUG00000012143	Locus_7064_Transcript_2/3_Confidence_0.400_Length_5780
ENSSHAG00000000265	ENSMODG00000016898	ENSMEUG00000001801	NA
ENSSHAG00000000269	ENSMODG00000013403	ENSMEUG00000013583	Locus_3965_Transcript_49/212_Confidence_0.037_Length_2494
ENSSHAG00000000270	ENSMODG00000013611	ENSMEUG00000013393	Locus_5328_Transcript_4/22_Confidence_0.619_Length_1694
ENSSHAG00000000271	ENSMODG00000009659	ENSMEUG00000008688	Locus_172_Transcript_34/107_Confidence_0.047_Length_2593
ENSSHAG00000000272	ENSMODG00000003243	ENSMEUG00000004707	NA
ENSSHAG00000000273	ENSMODG00000005708	NA	Locus_3927_Transcript_48/109_Confidence_0.028_Length_1156
ENSSHAG00000000274	NA	ENSMEUG00000000692	Locus_20091_Transcript_1/5_Confidence_0.875_Length_1824
ENSSHAG00000000276	ENSMODG00000015400	ENSMEUG00000003739	Locus_13035_Transcript_3/33_Confidence_0.059_Length_2693
ENSSHAG00000000278	ENSMODG00000025261	ENSMEUG00000011469	NA
ENSSHAG00000000279	NA	ENSMEUG00000003534	Locus_2875_Transcript_10/16_Confidence_0.000_Length_1059
ENSSHAG00000000281	ENSMODG00000024230	ENSMEUG00000015658	NA
ENSSHAG00000000284	ENSMODG00000016268	ENSMEUG00000012608	Locus_5041_Transcript_11/43_Confidence_0.109_Length_14134
ENSSHAG00000000285	ENSMODG00000003640	ENSMEUG00000010166	NA
ENSSHAG00000000286	ENSMODG00000003243	ENSMEUG00000004707	NA
ENSSHAG00000000287	ENSMODG00000027854	NA	Locus_88_Transcript_8574/16303_Confidence_0.000_Length_2745
ENSSHAG00000000288	NA	ENSMEUG00000005576	Locus_2167_Transcript_24/59_Confidence_0.040_Length_1413
ENSSHAG00000000289	ENSMODG00000016393	ENSMEUG00000009995	NA
ENSSHAG00000000291	ENSMODG00000029117	ENSMEUG00000007189	Locus_802_Transcript_8/66_Confidence_0.338_Length_10321
ENSSHAG00000000293	ENSMODG00000001108	NA	Locus_55227_Transcript_1/3_Confidence_0.250_Length_4143
ENSSHAG00000000296	ENSMODG00000006561	ENSMEUG00000003118	Locus_9371_Transcript_1/5_Confidence_0.400_Length_4174
ENSSHAG00000000297	ENSMODG00000004173	ENSMEUG00000010872	Locus_19911_Transcript_19/23_Confidence_0.629_Length_1781
ENSSHAG00000000298	ENSMODG00000012246	ENSMEUG00000012753	Locus_7034_Transcript_14/22_Confidence_0.750_Length_3808
ENSSHAG00000000299	ENSMODG00000013144	ENSMEUG00000011698	NA
ENSSHAG00000000300	ENSMODG00000024116	ENSMEUG00000002025	NA
ENSSHAG00000000301	ENSMODG00000000967	ENSMEUG00000009543	Locus_9466_Transcript_74/88_Confidence_0.057_Length_936
ENSSHAG00000000303	ENSMODG00000005805	ENSMEUG00000001426	Locus_3646_Transcript_20/66_Confidence_0.268_Length_6322
ENSSHAG00000000306	ENSMODG00000014968	ENSMEUG00000014623	NA
ENSSHAG00000000307	ENSMODG00000000950	ENSMEUG00000010486	Locus_3520_Transcript_1/1_Confidence_0.000_Length_3532
ENSSHAG00000000309	NA	ENSMEUG00000004193	Locus_742_Transcript_35/44_Confidence_0.083_Length_5038
ENSSHAG00000000310	NA	ENSMEUG00000007687	Locus_33155_Transcript_25/62_Confidence_0.080_Length_471
ENSSHAG00000000312	ENSMODG00000007315	ENSMEUG00000005896	Locus_13699_Transcript_6/6_Confidence_0.000_Length_2419
ENSSHAG00000000313	ENSMODG00000024970	ENSMEUG00000014244	NA
ENSSHAG00000000315	ENSMODG00000014128	ENSMEUG00000013707	Locus_10610_Transcript_7/13_Confidence_0.533_Length_7017
ENSSHAG00000000316	ENSMODG00000003243	ENSMEUG00000004707	NA
ENSSHAG00000000319	ENSMODG00000013042	NA	Locus_339_Transcript_5/45_Confidence_0.145_Length_3857
ENSSHAG00000000321	ENSMODG00000008449	ENSMEUG00000010572	Locus_4034_Transcript_15/22_Confidence_0.556_Length_12643
ENSSHAG00000000322	ENSMODG00000003967	ENSMEUG00000014420	Locus_1307_Transcript_6/26_Confidence_0.105_Length_2340
ENSSHAG00000000324	ENSMODG00000009311	ENSMEUG00000003325	Locus_49807_Transcript_4/5_Confidence_0.556_Length_924
ENSSHAG00000000325	ENSMODG00000000148	ENSMEUG00000004386	NA
ENSSHAG00000000327	ENSMODG00000007699	ENSMEUG00000001098	Locus_7021_Transcript_13/13_Confidence_0.350_Length_1721
ENSSHAG00000000328	ENSMODG00000010913	ENSMEUG00000003611	Locus_19484_Transcript_2/5_Confidence_0.667_Length_937
ENSSHAG00000000330	ENSMODG00000011873	ENSMEUG00000016391	Locus_10132_Transcript_1/2_Confidence_0.333_Length_1460
ENSSHAG00000000332	ENSMODG00000001056	ENSMEUG00000001346	NA
ENSSHAG00000000333	ENSMODG00000006743	ENSMEUG00000016502	NA
ENSSHAG00000000336	ENSMODG00000008761	ENSMEUG00000016452	Locus_88_Transcript_7479/16303_Confidence_0.000_Length_10850
ENSSHAG00000000337	ENSMODG00000016988	ENSMEUG00000008036	Locus_13382_Transcript_13/21_Confidence_0.059_Length_3782
ENSSHAG00000000339	ENSMODG00000008902	ENSMEUG00000016761	NA
ENSSHAG00000000340	ENSMODG00000023302	ENSMEUG00000000988	NA
ENSSHAG00000000341	ENSMODG00000008850	ENSMEUG00000005067	Locus_9819_Transcript_14/17_Confidence_0.400_Length_5909
ENSSHAG00000000342	ENSMODG00000004420	ENSMEUG00000003052	Locus_1729_Transcript_26/162_Confidence_0.012_Length_5609
ENSSHAG00000000343	ENSMODG00000006013	ENSMEUG00000000339	Locus_40180_Transcript_2/11_Confidence_0.645_Length_2810
ENSSHAG00000000345	ENSMODG00000015468	ENSMEUG00000003252	Locus_8937_Transcript_5/19_Confidence_0.389_Length_5929
ENSSHAG00000000346	ENSMODG00000000989	ENSMEUG00000010932	Locus_4344_Transcript_93/94_Confidence_0.092_Length_3069
ENSSHAG00000000348	ENSMODG00000006724	ENSMEUG00000002556	Locus_12472_Transcript_17/27_Confidence_0.167_Length_5864
ENSSHAG00000000350	ENSMODG00000011910	ENSMEUG00000006559	Locus_6224_Transcript_21/65_Confidence_0.104_Length_4185
ENSSHAG00000000353	ENSMODG00000022792	ENSMEUG00000010821	NA
ENSSHAG00000000356	ENSMODG00000027724	ENSMEUG00000009832	NA
ENSSHAG00000000358	ENSMODG00000019999	ENSMEUG00000001532	NA
ENSSHAG00000000360	ENSMODG00000006941	ENSMEUG00000010592	Locus_8155_Transcript_10/25_Confidence_0.161_Length_2793
ENSSHAG00000000361	ENSMODG00000009836	ENSMEUG00000004812	Locus_7890_Transcript_132/150_Confidence_0.145_Length_2226
ENSSHAG00000000364	ENSMODG00000023735	ENSMEUG00000001594	Locus_16941_Transcript_10/18_Confidence_0.300_Length_2008
ENSSHAG00000000368	ENSMODG00000011986	ENSMEUG00000012891	NA
ENSSHAG00000000369	ENSMODG00000013965	ENSMEUG00000004874	NA
ENSSHAG00000000370	ENSMODG00000011986	ENSMEUG00000012891	NA
ENSSHAG00000000371	ENSMODG00000020526	ENSMEUG00000004242	Locus_5288_Transcript_2/7_Confidence_0.500_Length_2961
ENSSHAG00000000372	ENSMODG00000014363	ENSMEUG00000004479	Locus_4829_Transcript_16/42_Confidence_0.194_Length_7774
ENSSHAG00000000375	NA	ENSMEUG00000000834	Locus_17153_Transcript_15/26_Confidence_0.429_Length_2910
ENSSHAG00000000377	ENSMODG00000020619	ENSMEUG00000008525	Locus_807_Transcript_2/9_Confidence_0.105_Length_1802
ENSSHAG00000000378	ENSMODG00000004597	NA	Locus_9545_Transcript_7/17_Confidence_0.474_Length_3516
ENSSHAG00000000382	ENSMODG00000016654	ENSMEUG00000006340	NA
ENSSHAG00000000383	ENSMODG00000001923	ENSMEUG00000006492	NA
ENSSHAG00000000384	ENSMODG00000006845	ENSMEUG00000015523	Locus_7628_Transcript_22/40_Confidence_0.273_Length_3833
ENSSHAG00000000385	ENSMODG00000013768	ENSMEUG00000000065	Locus_66069_Transcript_1/1_Confidence_0.000_Length_450
ENSSHAG00000000387	ENSMODG00000025130	ENSMEUG00000011403	Locus_77213_Transcript_1/3_Confidence_0.400_Length_991
ENSSHAG00000000389	ENSMODG00000014543	ENSMEUG00000005532	Locus_8343_Transcript_14/31_Confidence_0.116_Length_6365
ENSSHAG00000000390	ENSMODG00000010091	ENSMEUG00000009437	Locus_15567_Transcript_17/18_Confidence_0.500_Length_3653
ENSSHAG00000000392	ENSMODG00000016863	ENSMEUG00000001921	Locus_96580_Transcript_12/16_Confidence_0.421_Length_3887
ENSSHAG00000000394	ENSMODG00000021446	ENSMEUG00000014129	Locus_853_Transcript_5/11_Confidence_0.710_Length_2187
ENSSHAG00000000395	ENSMODG00000019927	ENSMEUG00000002466	NA
ENSSHAG00000000396	ENSMODG00000019999	ENSMEUG00000001532	NA
