gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000013314	1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	1	0
ENSSHAG00000013317	1	AT rich interactive domain 3A (BRIGHT-like) [Source:HGNC Symbol;Acc:HGNC:3031]	1	0
ENSSHAG00000008986	1	protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]	1	0
ENSSHAG00000007202	1	C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:HGNC:14344]	0	1
ENSSHAG00000007201	1		0	1
ENSSHAG00000007207	1	protein phosphatase 2C-like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28406]	1	0
ENSSHAG00000011228	1	exocyst complex component 3-like 1 [Source:HGNC Symbol;Acc:HGNC:27540]	1	0
ENSSHAG00000012213	1	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	0	1
ENSSHAG00000007208	1	glucose-fructose oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096]	1	0
ENSSHAG00000013531	2	solute carrier family 12, member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	1	1
ENSSHAG00000016792	1	teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]	0	1
ENSSHAG00000011723	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WE56]	0	1
ENSSHAG00000001415	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEI5]	1	1
ENSSHAG00000014129	1	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	0	1
ENSSHAG00000017744	1	Rap guanine nucleotide exchange factor (GEF) 1 [Source:HGNC Symbol;Acc:HGNC:4568]	0	1
ENSSHAG00000001412	1	gem (nuclear organelle) associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]	1	0
ENSSHAG00000013401	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WJW8]	0	1
ENSSHAG00000016696	1	RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]	1	0
ENSSHAG00000012133	1	catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]	0	1
ENSSHAG00000009791	2	immunity-related GTPase family, M [Source:HGNC Symbol;Acc:HGNC:29597]	1	1
ENSSHAG00000015801	1	SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:19336]	1	0
ENSSHAG00000004176	1	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	1	0
ENSSHAG00000001238	1	calmodulin regulated spectrin-associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]	1	0
ENSSHAG00000009426	1	microtubule-associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	1	0
ENSSHAG00000009427	1	carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]	1	0
ENSSHAG00000014609	2	NAD(P)H dehydrogenase, quinone 2 [Source:HGNC Symbol;Acc:HGNC:7856]	1	1
ENSSHAG00000017318	1	BCL2-associated athanogene 4 [Source:HGNC Symbol;Acc:HGNC:940]	0	1
ENSSHAG00000011319	1	dual specificity phosphatase 13 [Source:HGNC Symbol;Acc:HGNC:19681]	0	1
ENSSHAG00000011318	1	transmembrane protein 173 [Source:HGNC Symbol;Acc:HGNC:27962]	1	0
ENSSHAG00000012048	1	voltage-dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	0	1
ENSSHAG00000012682	2	lipase, member H [Source:HGNC Symbol;Acc:HGNC:18483]	1	1
ENSSHAG00000012686	1	immunoglobulin superfamily, DCC subclass, member 4 [Source:HGNC Symbol;Acc:HGNC:13770]	0	1
ENSSHAG00000012687	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WHG3]	0	1
ENSSHAG00000001121	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VDK2]	0	1
ENSSHAG00000011006	2	centrosomal protein 19kDa [Source:HGNC Symbol;Acc:HGNC:28209]	1	1
ENSSHAG00000005314	1	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	1	0
ENSSHAG00000016908	2	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:26053]	1	1
ENSSHAG00000005312	2	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) [Source:HGNC Symbol;Acc:HGNC:1790]	1	1
ENSSHAG00000001126	1	leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]	1	0
ENSSHAG00000010575	2	alkB, alkylation repair homolog 6 (E. coli) [Source:HGNC Symbol;Acc:HGNC:28243]	1	1
ENSSHAG00000010570	1	RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]	1	0
ENSSHAG00000010571	1	interleukin 36 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:15561]	0	1
ENSSHAG00000010572	1	thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]	0	1
ENSSHAG00000012663	2	inositol 1,4,5-trisphosphate receptor, type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	1	1
ENSSHAG00000012665	1	KIAA0907 [Source:HGNC Symbol;Acc:HGNC:29145]	1	0
ENSSHAG00000014212	1	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	1	0
ENSSHAG00000016968	1	WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737]	0	1
ENSSHAG00000004579	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPX8]	1	1
ENSSHAG00000007156	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYK6]	1	0
ENSSHAG00000007157	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYK7]	0	1
ENSSHAG00000012266	1		0	1
ENSSHAG00000004573	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPX0]	0	1
ENSSHAG00000012590	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WH41]	1	0
ENSSHAG00000015489	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WS39]	1	0
ENSSHAG00000012593	1	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	0	1
ENSSHAG00000015245	1	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	0	1
ENSSHAG00000015244	1	proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]	1	0
ENSSHAG00000012852	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WI04]	0	1
ENSSHAG00000004779	2	potassium voltage-gated channel, subfamily H (eag-related), member 4 [Source:HGNC Symbol;Acc:HGNC:6253]	1	1
ENSSHAG00000006821	1	general transcription factor IIIC, polypeptide 1, alpha 220kDa [Source:HGNC Symbol;Acc:HGNC:4664]	0	1
ENSSHAG00000004772	2	sodium channel, voltage-gated, type I, beta subunit [Source:HGNC Symbol;Acc:HGNC:10586]	1	1
ENSSHAG00000004770	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VQK6]	0	1
ENSSHAG00000009251	1	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	1	0
ENSSHAG00000009255	2	chromosome 11 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:18071]	1	1
ENSSHAG00000005334	2	DEAD (Asp-Glu-Ala-Asp) box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	1	1
ENSSHAG00000018509	1	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]	0	1
ENSSHAG00000015068	1	glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:9751]	1	0
ENSSHAG00000010681	1	T-cell acute lymphocytic leukemia 1 [Source:HGNC Symbol;Acc:HGNC:11556]	0	1
ENSSHAG00000013957	1	yrdC N(6)-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	1	0
ENSSHAG00000008913	1	DnaJ (Hsp40) homolog, subfamily B, member 12 [Source:HGNC Symbol;Acc:HGNC:14891]	0	1
ENSSHAG00000005337	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VSH8]	1	1
ENSSHAG00000012466	2	protein tyrosine kinase 7 [Source:HGNC Symbol;Acc:HGNC:9618]	1	1
ENSSHAG00000018007	1	glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154]	0	1
ENSSHAG00000018164	1	synaptophysin-like 2 [Source:HGNC Symbol;Acc:HGNC:27638]	1	0
ENSSHAG00000004312	1	SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295]	1	0
ENSSHAG00000005169	1	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	0	1
ENSSHAG00000006952	1	forkhead box I2 [Source:HGNC Symbol;Acc:HGNC:32448]	1	0
ENSSHAG00000005222	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VS42]	1	1
ENSSHAG00000008303	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W2E1]	1	0
ENSSHAG00000008301	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W2D8]	1	0
ENSSHAG00000005554	1	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	0	1
ENSSHAG00000008307	1	metallo-beta-lactamase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22180]	1	0
ENSSHAG00000008876	2	RNA binding motif protein 42 [Source:HGNC Symbol;Acc:HGNC:28117]	1	1
ENSSHAG00000018182	1	gap junction protein, alpha 5, 40kDa [Source:HGNC Symbol;Acc:HGNC:4279]	1	0
ENSSHAG00000007974	1	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	0	1
ENSSHAG00000007976	2	toll-like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1	1
ENSSHAG00000007979	1	SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:HGNC:30619]	1	0
ENSSHAG00000010197	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W8X8]	1	0
ENSSHAG00000018347	2	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	1	1
ENSSHAG00000018343	1	chromosome 3 open reading frame 14 [Source:HGNC Symbol;Acc:HGNC:25024]	0	1
ENSSHAG00000008897	1	ATP/GTP binding protein-like 4 [Source:HGNC Symbol;Acc:HGNC:25892]	0	1
ENSSHAG00000008894	1	DNA (cytosine-5-)-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]	0	1
ENSSHAG00000004957	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VR68]	1	1
ENSSHAG00000010664	2	solute carrier family 35, member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	1	1
ENSSHAG00000005429	1	metastasis suppressor 1-like [Source:HGNC Symbol;Acc:HGNC:25094]	0	1
ENSSHAG00000004407	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPC9]	1	0
ENSSHAG00000005137	1	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	1	0
ENSSHAG00000005422	2	TRIM39-RPP21 readthrough [Source:HGNC Symbol;Acc:HGNC:38845]	1	1
ENSSHAG00000005423	1	BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]	1	0
ENSSHAG00000010756	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WAV8]	1	0
ENSSHAG00000010751	1		1	0
ENSSHAG00000002333	2	carcinoembryonic antigen-related cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]	1	1
ENSSHAG00000016885	1	solute carrier family 4, sodium bicarbonate cotransporter, member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	0	1
ENSSHAG00000011560	1	phosphatidylinositol transfer protein, beta [Source:HGNC Symbol;Acc:HGNC:9002]	0	1
ENSSHAG00000011561	1	RasGEF domain family, member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	0	1
ENSSHAG00000011563	1	transmembrane protein 208 [Source:HGNC Symbol;Acc:HGNC:25015]	1	0
ENSSHAG00000014045	1	poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	1	0
ENSSHAG00000014046	1	cadherin 15, type 1, M-cadherin (myotubule) [Source:HGNC Symbol;Acc:HGNC:1754]	0	1
ENSSHAG00000005047	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRI1]	0	1
ENSSHAG00000004956	1	DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:2772]	0	1
ENSSHAG00000011762	2	KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]	1	1
ENSSHAG00000011766	1	single-strand-selective monofunctional uracil-DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:17148]	1	0
ENSSHAG00000010367	1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	0	1
ENSSHAG00000017408	2	receptor-associated protein of the synapse [Source:HGNC Symbol;Acc:HGNC:9863]	1	1
ENSSHAG00000009924	1	laminin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1	0
ENSSHAG00000004624	2	aspartoacylase (aminocyclase) 3 [Source:HGNC Symbol;Acc:HGNC:24104]	1	1
ENSSHAG00000014448	1	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]	0	1
ENSSHAG00000014449	1	nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:HGNC:7788]	1	0
ENSSHAG00000014444	2	salt-inducible kinase 2 [Source:HGNC Symbol;Acc:HGNC:21680]	1	1
ENSSHAG00000014446	2	receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	1	1
ENSSHAG00000011967	1	BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]	1	0
ENSSHAG00000014192	1	CoA synthase [Source:HGNC Symbol;Acc:HGNC:29932]	1	0
ENSSHAG00000009453	1	chromosome 19 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:25649]	0	1
ENSSHAG00000011963	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WEY1]	0	1
ENSSHAG00000006785	1	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	0	1
ENSSHAG00000006787	1	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	1	0
ENSSHAG00000007574	1	TNF receptor-associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	0	1
ENSSHAG00000002803	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJ20]	0	1
ENSSHAG00000002800	1	solute carrier family 35, member F5 [Source:HGNC Symbol;Acc:HGNC:23617]	0	1
ENSSHAG00000006768	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VX91]	1	1
ENSSHAG00000006769	1	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	0	1
ENSSHAG00000017329	1	cholinergic receptor, nicotinic, alpha 3 (neuronal) [Source:HGNC Symbol;Acc:HGNC:1957]	0	1
ENSSHAG00000011580	1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	1	0
ENSSHAG00000006495	1	chromosome 16 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33754]	0	1
ENSSHAG00000006364	1	small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]	0	1
ENSSHAG00000007789	1	zinc finger, DHHC-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20713]	0	1
ENSSHAG00000006361	1	glyoxylate reductase 1 homolog (Arabidopsis) [Source:HGNC Symbol;Acc:HGNC:24434]	1	0
ENSSHAG00000014222	2	NUAK family, SNF1-like kinase, 2 [Source:HGNC Symbol;Acc:HGNC:29558]	1	1
ENSSHAG00000007146	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYJ5]	0	1
ENSSHAG00000014224	1	hydroxysteroid (17-beta) dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]	1	0
ENSSHAG00000010969	1	neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]	1	0
ENSSHAG00000010213	1	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:HGNC:4795]	1	0
ENSSHAG00000017535	2	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	1	1
ENSSHAG00000010961	1	zinc finger protein 407 [Source:HGNC Symbol;Acc:HGNC:19904]	1	0
ENSSHAG00000010216	1	ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]	1	0
ENSSHAG00000003447	1	pecanex-like 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:18760]	1	0
ENSSHAG00000003449	1	glutamate-rich 3 [Source:HGNC Symbol;Acc:HGNC:25346]	0	1
ENSSHAG00000017633	1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	1	0
ENSSHAG00000010982	1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:HGNC Symbol;Acc:HGNC:18684]	1	0
ENSSHAG00000007366	1	cytosolic thiouridylase subunit 2 homolog (S. pombe) [Source:HGNC Symbol;Acc:HGNC:28005]	1	0
ENSSHAG00000009651	1	nudix (nucleoside diphosphate linked moiety X)-type motif 21 [Source:HGNC Symbol;Acc:HGNC:13870]	1	0
ENSSHAG00000003685	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VLX8]	1	0
ENSSHAG00000006560	2	R3H domain containing-like [Source:HGNC Symbol;Acc:HGNC:16249]	1	1
ENSSHAG00000014535	1	LIM homeobox transcription factor 1, alpha [Source:HGNC Symbol;Acc:HGNC:6653]	0	1
ENSSHAG00000006562	2	phosphodiesterase 4A, cAMP-specific [Source:HGNC Symbol;Acc:HGNC:8780]	1	1
ENSSHAG00000006563	1	phosphatidylserine synthase 2 [Source:HGNC Symbol;Acc:HGNC:15463]	1	0
ENSSHAG00000007560	1	CD164 molecule, sialomucin [Source:HGNC Symbol;Acc:HGNC:1632]	0	1
ENSSHAG00000017621	1	tripartite motif containing 66 [Source:HGNC Symbol;Acc:HGNC:29005]	1	0
ENSSHAG00000014539	1	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	0	1
ENSSHAG00000007565	1		0	1
ENSSHAG00000017622	2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	1	1
ENSSHAG00000016758	2	SRY (sex determining region Y)-box 30 [Source:HGNC Symbol;Acc:HGNC:30635]	1	1
ENSSHAG00000000885	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VCT4]	0	1
ENSSHAG00000016205	1	F-box and leucine-rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]	1	0
ENSSHAG00000013327	1	RAB25, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18238]	1	0
ENSSHAG00000008099	2	olfactory receptor, family 6, subfamily K, member 6 [Source:HGNC Symbol;Acc:HGNC:15033]	1	1
ENSSHAG00000008090	1	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	0	1
ENSSHAG00000008097	1	complement component 8, gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:1354]	0	1
ENSSHAG00000005936	1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	0	1
ENSSHAG00000007217	2	chromosome 10 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:25707]	1	1
ENSSHAG00000007216	1	sphingosine-1-phosphate receptor 4 [Source:HGNC Symbol;Acc:HGNC:3170]	1	0
ENSSHAG00000000538	2	biotinidase [Source:HGNC Symbol;Acc:HGNC:1122]	1	1
ENSSHAG00000017751	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WZS8]	0	1
ENSSHAG00000017750	2	heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:HGNC:5261]	1	1
ENSSHAG00000017752	2	formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]	1	1
ENSSHAG00000001932	1	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]	0	1
ENSSHAG00000001930	1	guanine nucleotide binding protein (G protein), gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]	0	1
ENSSHAG00000001423	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEJ3]	1	0
ENSSHAG00000008655	1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	0
ENSSHAG00000012121	1	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	0	1
ENSSHAG00000008653	1	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]	1	0
ENSSHAG00000013180	1	signal sequence receptor, beta (translocon-associated protein beta) [Source:HGNC Symbol;Acc:HGNC:11324]	1	0
ENSSHAG00000009436	1	synaptotagmin I [Source:HGNC Symbol;Acc:HGNC:11509]	0	1
ENSSHAG00000009434	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W692]	0	1
ENSSHAG00000015870	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTD9]	0	1
ENSSHAG00000004143	1	TERF1 (TRF1)-interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]	1	0
ENSSHAG00000004144	1	lymphotoxin beta (TNF superfamily, member 3) [Source:HGNC Symbol;Acc:HGNC:6711]	1	0
ENSSHAG00000016812	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WWK2]	0	1
ENSSHAG00000000334	1		0	1
ENSSHAG00000001751	1	golgi transport 1A [Source:HGNC Symbol;Acc:HGNC:24766]	0	1
