ensembl_gene_id,likelihood,p0,f0,p1,f1,p2,f2,p3,f3,pval,p2a_2b,ID
ENSSHAG00000000271,-8950.717706,0.75309,0.02746,0.18684,1,0.04813,999,0.01194,999,0.000125002412668019,0.06007,sig_wg
ENSSHAG00000000303,-12835.128349,0.79787,0.00998,0.02544,1,0.17123,70.50839,0.00546,70.50839,2.06865315217243e-78,0.17669,sig_wg
ENSSHAG00000000321,-23861.041449,0.85552,0.03381,0,1,0.14448,394.83228,0,394.83228,1.02769446510801e-207,0.14448,sig_wg
ENSSHAG00000000322,-8594.674367,0.66688,0.037,0.10408,1,0.19812,248.84832,0.03092,248.84832,3.32594816476223e-15,0.22904,sig_wg
ENSSHAG00000000337,-3800.662276,0.57643,0.1349,0.37604,1,0.02876,23.63878,0.01876,23.63878,0.0445397468286711,0.04752,sig_wg
ENSSHAG00000000341,-7470.87332,0.72743,0.05462,0.08757,1,0.16513,274.33653,0.01988,274.33653,8.55307974888319e-19,0.18501,sig_wg
ENSSHAG00000000343,-7390.281787,0.43962,0.05223,0.47537,1,0.04084,360.71849,0.04416,360.71849,1.04498224430253e-11,0.085,sig_wg
ENSSHAG00000000346,-4683.656137,0.97776,0.01985,0.01748,1,0.00467,182.00864,8e-05,182.00864,0.00725170777967328,0.00475,sig_wg
ENSSHAG00000000348,-2356.647827,0.9469,0.05335,0.0531,1,0,1,0,1,0.0159497811644136,0,sig_wg
ENSSHAG00000000360,-5310.281851,0.78745,0.01703,0.11177,1,0.08826,263.40271,0.01253,263.40271,2.4851107024489e-15,0.10079,sig_wg
ENSSHAG00000000361,-5109.194247,0.90212,0.06145,0.06002,1,0.0355,9.76852,0.00236,9.76852,0.00899916773271498,0.03786,sig_wg
ENSSHAG00000000392,-5437.364911,0.98981,0.01456,0,1,0.01019,482.49894,0,482.49894,0.00016768342492052,0.01019,sig_wg
ENSSHAG00000000406,-1099.440247,0.96795,0.03323,0,1,0.03205,395.3563,0,395.3563,2.28841754270699e-08,0.03205,sig_wg
ENSSHAG00000000407,-12631.618559,0.92502,0.03349,0.07269,1,0.00212,236.30039,0.00017,236.30039,0.000915452215198058,0.00229,sig_wg
ENSSHAG00000000418,-5224.669462,0.86969,0.16174,0,1,0.13031,427.46097,0,427.46097,1.49413481702457e-22,0.13031,sig_wg
ENSSHAG00000000421,-7268.533874,0.78682,0.04097,0.16855,1,0.03675,999,0.00787,999,0.00143212056821958,0.04462,sig_wg
ENSSHAG00000000464,-3033.574923,0.61838,0,0.34862,1,0.02111,32.14749,0.0119,32.14749,6.32782312806056e-06,0.03301,sig_wg
ENSSHAG00000000472,-4526.98157,0.90491,0.07076,0.06414,1,0.0289,998.99123,0.00205,998.99123,7.20124493301769e-06,0.03095,sig_wg
ENSSHAG00000000485,-3062.399449,0.61162,0.08457,0.09844,1,0.24974,155.10704,0.0402,155.10704,1.29824107951088e-10,0.28994,sig_wg
ENSSHAG00000000486,-3978.975915,0.95396,0.01787,0.03774,1,0.00799,999,0.00032,999,0.000128293862296004,0.00831,sig_wg
ENSSHAG00000000505,-2993.120308,0.81349,0.00142,0.13829,1,0.04121,645.43356,0.00701,645.43356,0.000456372226183401,0.04822,sig_wg
ENSSHAG00000000507,-13211.438729,0.65046,0.08313,0.31984,1,0.01991,18.71981,0.00979,18.71981,3.24261967447632e-09,0.0297,sig_wg
ENSSHAG00000000518,-4035.280995,0.74247,0.08783,0.19566,1,0.04897,999,0.0129,999,1.38269246725049e-09,0.06187,sig_wg
ENSSHAG00000000519,-9872.312375,0.69659,0.05386,0.09835,1,0.17969,293.22121,0.02537,293.22121,1.85657249400423e-43,0.20506,sig_wg
ENSSHAG00000000533,-5942.852983,0.91214,0.04648,0.08161,1,0.00574,999,0.00051,999,6.13093384563314e-07,0.00625,sig_wg
ENSSHAG00000000539,-3142.365995,0.80138,0.03105,0.15177,1,0.03939,998.9017,0.00746,998.9017,0.0119307172125359,0.04685,sig_wg
ENSSHAG00000000550,-2440.656024,0.91625,0.02594,0,1,0.08375,850.63819,0,850.63819,1.67675093391619e-06,0.08375,sig_wg
ENSSHAG00000000551,-3563.131144,0.9629,0.00664,0.02776,1,0.00908,274.81979,0.00026,274.81979,0.000719627781577882,0.00934,sig_wg
ENSSHAG00000000572,-14538.383596,0.79912,0.03094,0.12117,1,0.06921,52.36885,0.01049,52.36885,4.32757461247344e-31,0.0797,sig_wg
ENSSHAG00000000590,-5635.386819,0.93841,0.02809,0.04508,1,0.01576,100.86008,0.00076,100.86008,0.000389823721123309,0.01652,sig_wg
ENSSHAG00000000604,-6638.058164,0.76803,0.05738,0.18419,1,0.03853,405.31178,0.00924,405.31178,5.76908990220339e-10,0.04777,sig_wg
ENSSHAG00000000610,-1305.197366,0.68722,0.03176,0.01766,1,0.28772,55.74543,0.0074,55.74543,0.000121177829053321,0.29512,sig_wg
ENSSHAG00000000627,-6664.2151,0.53873,0.0223,0.37584,1,0.05032,530.55844,0.03511,530.55844,2.82355986244954e-23,0.08543,sig_wg
ENSSHAG00000000641,-5216.455906,0.34889,0.05008,0.55839,1,0.03566,17.44256,0.05707,17.44256,0.000332193880206005,0.09273,sig_wg
ENSSHAG00000000643,-6113.628511,0.92658,0.07167,0.05718,1,0.0153,175.55551,0.00094,175.55551,1.00753325207342e-20,0.01624,sig_wg
ENSSHAG00000000652,-4968.869996,0.73624,0.0017,0.16401,1,0.08158,643.90599,0.01817,643.90599,1.69713884360178e-07,0.09975,sig_wg
ENSSHAG00000000668,-1907.938343,0.98107,0.02492,0,1,0.01893,28.49977,0,28.49977,0.00683303537248301,0.01893,sig_wg
ENSSHAG00000000675,-4786.214891,0.78049,0.05223,0.11694,1,0.0892,83.51285,0.01337,83.51285,1.32139839785568e-23,0.10257,sig_wg
ENSSHAG00000000685,-2648.111693,0.81316,0.0023,0.14207,1,0.03811,999,0.00666,999,0.000813237934195176,0.04477,sig_wg
ENSSHAG00000000699,-2564.148168,0.75653,0.08094,0.14495,1,0.08268,726.29407,0.01584,726.29407,1.44719568104026e-13,0.09852,sig_wg
ENSSHAG00000000700,-3402.352864,0.95568,0.12138,0,1,0.04432,126.2413,0,126.2413,2.48860905704465e-07,0.04432,sig_wg
ENSSHAG00000000708,-5647.283022,0.98127,0.02943,0,1,0.01873,657.23074,0,657.23074,1.02073825501334e-08,0.01873,sig_wg
ENSSHAG00000000709,-3299.979903,0.7964,0.02455,0.17786,1,0.02104,999,0.0047,999,0.00288185236701716,0.02574,sig_wg
ENSSHAG00000000721,-3231.694717,0.62658,0.0547,0.11653,1,0.2166,404.56953,0.04028,404.56953,1.63497392411136e-24,0.25688,sig_wg
ENSSHAG00000000726,-2554.23276,0.64579,0.06113,0.34009,1,0.00925,47.26311,0.00487,47.26311,0.00133692215059065,0.01412,sig_wg
ENSSHAG00000000727,-2053.763166,0.98676,0.02367,0,1,0.01324,17.94497,0,17.94497,0.00144962959836878,0.01324,sig_wg
ENSSHAG00000000732,-3130.499252,0.96055,0.01243,0.01266,1,0.02644,30.6711,0.00035,30.6711,5.77426432766272e-06,0.02679,sig_wg
ENSSHAG00000000736,-7887.83202,0.59143,0.02744,0.34049,1,0.04321,342.08061,0.02488,342.08061,5.38163802201611e-15,0.06809,sig_wg
ENSSHAG00000000751,-9675.982098,0.84322,0.01888,0.10658,1,0.04456,262.06775,0.00563,262.06775,0.0100178373092983,0.05019,sig_wg
ENSSHAG00000000752,-6647.89203,0.94442,0.01629,0.01497,1,0.03997,999,0.00063,999,2.71053074860997e-28,0.0406,sig_wg
ENSSHAG00000000753,-5142.172753,0.55441,0.03411,0.17995,1,0.20055,558.58143,0.06509,558.58143,3.21350135313897e-10,0.26564,sig_wg
ENSSHAG00000000756,-5895.717894,0.76864,0.09506,0.11299,1,0.1032,936.19818,0.01517,936.19818,2.11191833703336e-17,0.11837,sig_wg
ENSSHAG00000000760,-3956.159468,0.52159,0.06361,0.38846,1,0.05155,170.01408,0.03839,170.01408,1.28624605349853e-09,0.08994,sig_wg
ENSSHAG00000000762,-14131.335054,0.41532,0.02425,0.40129,1,0.09327,502.95056,0.09012,502.95056,6.12292796976877e-60,0.18339,sig_wg
ENSSHAG00000000773,-2754.029621,0.70497,0.05212,0.28019,1,0.01062,998.99644,0.00422,998.99644,0.0384266123456614,0.01484,sig_wg
ENSSHAG00000000780,-6326.60841,0.76594,0.02403,0.22622,1,0.00605,162.79949,0.00179,162.79949,7.16735316343912e-05,0.00784,sig_wg
ENSSHAG00000000827,-9156.207542,0.68135,0.0667,0.30412,1,0.01004,47.35788,0.00448,47.35788,2.34523619235518e-05,0.01452,sig_wg
ENSSHAG00000000830,-5940.882883,0.81018,0.09982,0.11881,1,0.06193,468.89765,0.00908,468.89765,9.07410963942404e-31,0.07101,sig_wg
ENSSHAG00000000833,-2209.383928,0.77104,0.03122,0.15503,1,0.06156,45.41613,0.01238,45.41613,0.000114814975482285,0.07394,sig_wg
ENSSHAG00000000835,-1321.390093,0.86908,0.02523,0.11592,1,0.01324,298.89633,0.00177,298.89633,0.000387354116903411,0.01501,sig_wg
ENSSHAG00000000849,-2025.713653,0.9475,0,0.02605,1,0.02575,63.27995,0.00071,63.27995,4.60710010107898e-08,0.02646,sig_wg
ENSSHAG00000000851,-2608.611318,0.88502,0.01944,0.10308,1,0.01066,181.23899,0.00124,181.23899,4.75923505995071e-06,0.0119,sig_wg
ENSSHAG00000000858,-4790.015594,0.68953,0.07564,0.29391,1,0.01161,109.67407,0.00495,109.67407,1.48086561427161e-05,0.01656,sig_wg
ENSSHAG00000000869,-6563.697392,0.76773,0.0865,0.21186,1,0.016,740.24052,0.00442,740.24052,6.25214809802221e-06,0.02042,sig_wg
ENSSHAG00000000874,-12859.551614,0.3151,0.03517,0.35977,1,0.1518,374.98274,0.17332,374.98274,1.35091339011751e-51,0.32512,sig_wg
ENSSHAG00000000885,-9051.502492,0.63042,0.11037,0.28937,1,0.05498,556.24014,0.02524,556.24014,9.88239125270423e-14,0.08022,sig_wg
ENSSHAG00000000895,-6780.322758,0.83993,0.0246,0.02075,1,0.13596,70.6464,0.00336,70.6464,1.45151792776192e-60,0.13932,sig_wg
ENSSHAG00000000902,-2986.694742,0.84982,0.02241,0.0887,1,0.05567,783.54688,0.00581,783.54688,2.85836937856188e-06,0.06148,sig_wg
ENSSHAG00000000906,-6896.083357,0.95871,0.05682,0,1,0.04129,826.38118,0,826.38118,3.31618496337823e-42,0.04129,sig_wg
ENSSHAG00000000917,-2489.421846,0.86232,0,0.11902,1,0.01639,544.22233,0.00226,544.22233,0.0143324841693135,0.01865,sig_wg
ENSSHAG00000000922,-4779.714201,0.65957,0.05078,0.31976,1,0.01392,32.1032,0.00675,32.1032,0.0311396011179559,0.02067,sig_wg
ENSSHAG00000000925,-1890.178854,0.85706,0.01774,0,1,0.14294,886.53911,0,886.53911,1.04810031624512e-21,0.14294,sig_wg
ENSSHAG00000000933,-10753.398833,0.58447,0.07835,0.39773,1,0.01059,998.99643,0.00721,998.99643,0.000184553861709351,0.0178,sig_wg
ENSSHAG00000000934,-6207.554121,0.95259,0.02898,0.01715,1,0.02972,843.49508,0.00054,843.49508,3.53144792892731e-17,0.03026,sig_wg
ENSSHAG00000000937,-3028.514177,0.87345,0.01677,0.07096,1,0.05141,998.93474,0.00418,998.93474,3.29486800050827e-08,0.05559,sig_wg
ENSSHAG00000000946,-3197.254121,0.71716,0.0553,0.23652,1,0.03483,149.17388,0.01149,149.17388,2.84155032993797e-11,0.04632,sig_wg
ENSSHAG00000000955,-1735.075382,0.74628,0.05101,0.17366,1,0.06494,537.12162,0.01511,537.12162,4.76299273712062e-10,0.08005,sig_wg
ENSSHAG00000000968,-6742.639534,0.8682,0.0366,0.08729,1,0.04044,446.74009,0.00407,446.74009,7.17565131364315e-11,0.04451,sig_wg
ENSSHAG00000000975,-6712.81918,0.9466,0.02854,0.04088,1,0.012,830.18103,0.00052,830.18103,1.44276306223236e-05,0.01252,sig_wg
ENSSHAG00000000977,-6645.275097,0.52537,0.03312,0.32725,1,0.09081,13.63778,0.05656,13.63778,0.000100169914484262,0.14737,sig_wg
ENSSHAG00000000983,-6009.87312,0.79089,0.01534,0.10786,1,0.08909,157.46767,0.01215,157.46767,7.49160375358393e-36,0.10124,sig_wg
ENSSHAG00000000984,-3492.835235,0.93092,0.02489,0.06315,1,0.00556,998.99999,0.00038,998.99999,0.000395280837706639,0.00594,sig_wg
ENSSHAG00000000990,-3001.824345,0.88939,0.05986,0.08879,1,0.01983,8.25356,0.00198,8.25356,0.0327581599385806,0.02181,sig_wg
ENSSHAG00000000991,-6463.045844,0.6336,0.01748,0.34026,1,0.017,12.52765,0.00913,12.52765,0.0255072068436912,0.02613,sig_wg
ENSSHAG00000000994,-1763.115027,0.78448,0.06356,0.1638,1,0.04279,999,0.00893,999,7.77105752467384e-06,0.05172,sig_wg
ENSSHAG00000000995,-2767.796396,0.77629,0.04881,0.09437,1,0.11533,829.42513,0.01402,829.42513,1.7683189632782e-16,0.12935,sig_wg
ENSSHAG00000001010,-2325.001439,0.88386,0.00387,0,1,0.11614,848.24729,0,848.24729,4.10858779349759e-21,0.11614,sig_wg
ENSSHAG00000001012,-3040.38515,0.89903,0.08468,0.02198,1,0.0771,395.49821,0.00189,395.49821,5.97805163401633e-08,0.07899,sig_wg
ENSSHAG00000001019,-2843.380145,0.97367,0.10232,0,1,0.02633,529.4009,0,529.4009,1.92505611714546e-07,0.02633,sig_wg
ENSSHAG00000001023,-1240.734072,0.73901,0.07454,0.18937,1,0.05701,239.44018,0.01461,239.44018,0.00898750557185799,0.07162,sig_wg
ENSSHAG00000001025,-2838.42569,0.92934,0.0215,0,1,0.07066,31.63169,0,31.63169,1.63633081070948e-06,0.07066,sig_wg
ENSSHAG00000001027,-2531.439018,0.95308,0.02305,0.04692,1,0,1,0,1,0.00234644398151972,0,sig_wg
ENSSHAG00000001038,-3858.835796,0.95571,0.08349,0.01626,1,0.02756,68.23611,0.00047,68.23611,2.60722635750766e-10,0.02803,sig_wg
ENSSHAG00000001040,-8691.293987,0.72346,0.07759,0.1592,1,0.09617,60.9456,0.02116,60.9456,2.17850071348731e-26,0.11733,sig_wg
ENSSHAG00000001052,-4765.92597,0.5607,0.04642,0.11244,1,0.27227,90.13011,0.0546,90.13011,1.87528896092323e-12,0.32687,sig_wg
ENSSHAG00000001055,-16298.798252,0.94393,0.01369,0.01299,1,0.0425,113.36999,0.00058,113.36999,4.08703537311562e-71,0.04308,sig_wg
ENSSHAG00000001059,-6687.37633,0.36458,0,0.58183,1,0.02064,999,0.03295,999,1.15949850857553e-21,0.05359,sig_wg
ENSSHAG00000001060,-8102.412328,0.70229,0.03451,0.23762,1,0.0449,794.54789,0.01519,794.54789,5.87887666471773e-16,0.06009,sig_wg
ENSSHAG00000001062,-3342.603816,0.95873,0.05942,0,1,0.04127,318.83406,0,318.83406,1.92757612859271e-14,0.04127,sig_wg
ENSSHAG00000001067,-2805.616936,0.68768,0.00092,0.03612,1,0.26242,283.31816,0.01378,283.31816,2.1734600980483e-24,0.2762,sig_wg
ENSSHAG00000001078,-3107.926827,0.9028,0.05514,0.06784,1,0.02731,764.62004,0.00205,764.62004,2.38612808851065e-07,0.02936,sig_wg
ENSSHAG00000001085,-6752.05256,0.48294,0.02179,0.47913,1,0.01904,999,0.01889,999,1.5444995561939e-12,0.03793,sig_wg
ENSSHAG00000001088,-3997.598695,0.9956,0.00639,0,1,0.0044,186.56834,0,186.56834,0.000257331361298503,0.0044,sig_wg
ENSSHAG00000001091,-1714.439892,0.76049,0.02885,0.23951,1,0,1,0,1,2.56821229277094e-09,0,sig_wg
ENSSHAG00000001125,-2567.291699,0.75032,0.09581,0.22024,1,0.02276,783.06181,0.00668,783.06181,2.15234003683041e-07,0.02944,sig_wg
ENSSHAG00000001130,-6074.434622,0.6421,0.05803,0.34249,1,0.01005,998.99847,0.00536,998.99847,2.86521735669088e-06,0.01541,sig_wg
ENSSHAG00000001132,-6183.44637,0.19966,0.06888,0.5864,1,0.05434,182.19866,0.1596,182.19866,2.79553800338413e-17,0.21394,sig_wg
ENSSHAG00000001134,-7444.246115,0.80042,0.09804,0.09598,1,0.09251,112.65351,0.01109,112.65351,3.32460544357169e-37,0.1036,sig_wg
ENSSHAG00000001155,-3816.258178,0.61971,0.0272,0.3626,1,0.01116,997.36382,0.00653,997.36382,1.05203606774409e-05,0.01769,sig_wg
ENSSHAG00000001181,-3933.725109,0.95833,0.05331,0,1,0.04167,735.56325,0,735.56325,6.84224264684757e-12,0.04167,sig_wg
ENSSHAG00000001207,-4753.516927,0.96693,0.02012,0,1,0.03307,7.57533,0,7.57533,1.11426076316188e-12,0.03307,sig_wg
ENSSHAG00000001220,-7915.719275,0.81251,0.05507,0.14703,1,0.03426,250.03552,0.0062,250.03552,3.01397731670244e-14,0.04046,sig_wg
ENSSHAG00000001222,-4482.239863,0.69854,0.09656,0.17318,1,0.10279,26.47341,0.02548,26.47341,1.74074700117039e-16,0.12827,sig_wg
ENSSHAG00000001235,-4954.560633,0.58495,0.05814,0.2571,1,0.10973,16.57531,0.04823,16.57531,3.40628795689254e-05,0.15796,sig_wg
ENSSHAG00000001236,-2251.660516,0.84768,0,0.03478,1,0.11291,89.00308,0.00463,89.00308,3.60754374268565e-24,0.11754,sig_wg
ENSSHAG00000001252,-7098.338716,0.78366,1e-05,0.03658,1,0.17175,45.19559,0.00802,45.19559,6.21977782657993e-50,0.17977,sig_wg
ENSSHAG00000001254,-5535.024942,0.88157,0.01629,0.10704,1,0.01016,29.79475,0.00123,29.79475,0.00113723119277676,0.01139,sig_wg
ENSSHAG00000001275,-3108.456877,0.97609,0.12856,0,1,0.02391,582.68064,0,582.68064,1.81698564809114e-05,0.02391,sig_wg
ENSSHAG00000001276,-5475.579234,0.68394,0.0214,0.21604,1,0.07601,193.49529,0.02401,193.49529,7.53582629662054e-20,0.10002,sig_wg
ENSSHAG00000001279,-5943.06374,0.92798,0.0266,0.05173,1,0.01922,442.46757,0.00107,442.46757,4.86421032825987e-19,0.02029,sig_wg
ENSSHAG00000001303,-13272.967541,0.70673,0.08618,0.26163,1,0.0231,370.16277,0.00855,370.16277,6.50680432136086e-11,0.03165,sig_wg
ENSSHAG00000001304,-4973.062892,0.52749,0.1331,0.38033,1,0.05356,366.43874,0.03862,366.43874,4.08243534395876e-11,0.09218,sig_wg
ENSSHAG00000001306,-5481.922544,0.83874,0.04717,0.12495,1,0.03161,381.16901,0.00471,381.16901,0.000361348948086515,0.03632,sig_wg
ENSSHAG00000001333,-6448.185905,0.49467,0.03793,0.40998,1,0.05214,716.70085,0.04321,716.70085,1.47911634884171e-10,0.09535,sig_wg
ENSSHAG00000001366,-5242.421958,0.94993,0.17254,0,1,0.05007,3.53169,0,3.53169,0.0035487137665932,0.05007,sig_wg
ENSSHAG00000001404,-4738.653528,0.90469,0.02368,0.06209,1,0.03108,999,0.00213,999,9.63483496332688e-18,0.03321,sig_wg
ENSSHAG00000001409,-6607.519928,0.95235,0.03102,0.02524,1,0.02184,7.56861,0.00058,7.56861,0.000120767371428195,0.02242,sig_wg
ENSSHAG00000001426,-3276.221159,0.48106,0.10313,0.5024,1,0.00809,998.99634,0.00845,998.99634,0.0110813667979784,0.01654,sig_wg
ENSSHAG00000001453,-1211.087633,0.7248,0,0.1616,1,0.09289,72.59229,0.02071,72.59229,5.32616679974297e-11,0.1136,sig_wg
ENSSHAG00000001455,-3368.301237,0.63018,0.16653,0.343,1,0.01737,17.50568,0.00945,17.50568,0.0255276757838718,0.02682,sig_wg
ENSSHAG00000001477,-5834.281362,0.84963,0.00401,0,1,0.15037,121.38841,0,121.38841,2.12162678550279e-48,0.15037,sig_wg
ENSSHAG00000001478,-1419.364095,0.76647,0.1353,0.18694,1,0.03745,999,0.00914,999,5.29071868191956e-12,0.04659,sig_wg
ENSSHAG00000001489,-2324.725881,0.98057,0.02385,0.01943,1,0,1.0029,0,1.0029,0.0246430848117438,0,sig_wg
ENSSHAG00000001506,-2476.127781,0.99201,0.05516,0,1,0.00799,282.2256,0,282.2256,0.00053328193418534,0.00799,sig_wg
ENSSHAG00000001515,-3901.782446,0.81631,0.04488,0.1682,1,0.01284,999,0.00265,999,1.02888285655977e-10,0.01549,sig_wg
ENSSHAG00000001524,-2281.14506,0.63273,0,0.32206,1,0.02996,371.8048,0.01525,371.8048,3.05110333297601e-05,0.04521,sig_wg
ENSSHAG00000001532,-2077.796932,0.45431,0,0.4117,1,0.07029,12.83273,0.0637,12.83273,0.000207614379877084,0.13399,sig_wg
ENSSHAG00000001542,-8609.692917,0.63532,0,0.19947,1,0.12574,571.938,0.03948,571.938,2.39579835302447e-42,0.16522,sig_wg
ENSSHAG00000001552,-6783.899002,0.83641,0.02308,0.13514,1,0.0245,426.7748,0.00396,426.7748,1.84717024844906e-18,0.02846,sig_wg
ENSSHAG00000001557,-5094.220928,0.67018,0.14484,0.22292,1,0.08022,999,0.02668,999,2.10495070599492e-35,0.1069,sig_wg
ENSSHAG00000001559,-1863.572057,0.33148,0,0.39815,1,0.12283,104.76723,0.14754,104.76723,1.01744131002503e-09,0.27037,sig_wg
ENSSHAG00000001562,-5353.811044,0.904,0.06216,0.08074,1,0.01401,64.65843,0.00125,64.65843,0.000342087977755527,0.01526,sig_wg
ENSSHAG00000001573,-2529.877066,0.86518,0.01915,0.08566,1,0.04473,998.99999,0.00443,998.99999,1.84023955463485e-15,0.04916,sig_wg
ENSSHAG00000001575,-6248.223452,0.63862,0.02324,0.1161,1,0.20755,433.04625,0.03773,433.04625,4.72081489488706e-19,0.24528,sig_wg
ENSSHAG00000001587,-15130.484948,0.76073,0.01018,0.188,1,0.04111,998.96836,0.01016,998.96836,3.33624685388071e-38,0.05127,sig_wg
ENSSHAG00000001593,-3456.072418,0.93969,0.05087,0.04153,1,0.01798,998.99671,0.00079,998.99671,1.90733148989275e-07,0.01877,sig_wg
ENSSHAG00000001595,-2759.156492,0.7235,0.09224,0.07716,1,0.18013,348.45992,0.01921,348.45992,4.79814460181307e-12,0.19934,sig_wg
ENSSHAG00000001607,-2927.585031,0.89738,0.00666,0.01738,1,0.08363,157.45837,0.00162,157.45837,2.38345998218942e-18,0.08525,sig_wg
ENSSHAG00000001638,-11604.53662,0.90046,0.06894,0.09452,1,0.00454,998.99973,0.00048,998.99973,0.000777536999817067,0.00502,sig_wg
ENSSHAG00000001640,-3238.73944,0.96125,0.0076,0,1,0.03875,661.84989,0,661.84989,8.37380669800727e-30,0.03875,sig_wg
